SecId,Name,PriceCurrency,StarRatingM255,SustainabilityRank,CategoryName,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM36,GBRReturnM60,GBRReturnM120,OngoingCostActual,PerformanceFeeActual,TransactionFeeActual,FundTNAV,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,Size,Investment_Type,Curr_CHF,Curr_DKK,Curr_EUR,Curr_GBP,Curr_GBX,Curr_JPY,Curr_NOK,Curr_PLN,Curr_SEK,Curr_SGD,Curr_USD,Cat_Denmark Equity,Cat_Europe Equity Income,Cat_Europe Flex-Cap Equity,Cat_Europe Large-Cap Blend Equity,Cat_Europe Large-Cap Growth Equity,Cat_Europe Large-Cap Value Equity,Cat_Europe Mid-Cap Equity,Cat_Europe Small-Cap Equity,Cat_Europe ex-UK Equity,Cat_Europe ex-UK Small/Mid-Cap Equity,Cat_Eurozone Flex-Cap Equity,Cat_Eurozone Large-Cap Equity,Cat_Eurozone Mid-Cap Equity,Cat_France Small/Mid-Cap Equity,Cat_Germany Equity,Cat_Global Equity Income,Cat_Global Flex-Cap Equity,Cat_Global Large-Cap Blend Equity,Cat_Italy Equity,Cat_Long/Short Equity - Europe,Cat_Nordic Equity,Cat_Nordic Small/Mid-Cap Equity,Cat_Norway Equity,Cat_Property - Indirect Europe,Cat_Sector Equity Consumer Goods \u0026 Services,Cat_Sector Equity Ecology,Cat_Sector Equity Natural Resources,Cat_Sector Equity Technology,Cat_Spain Equity,Cat_Sweden Equity,Cat_Switzerland Equity,Cat_Switzerland Small/Mid-Cap Equity,Cat_UK Equity Income,Cat_UK Flex-Cap Equity,Cat_UK Large-Cap Equity,Cat_UK Mid-Cap Equity,Cat_UK Small-Cap Equity,FundType,Type_A,Type_B,Type_C,Type_I,Type_M,Type_P,Type_R
F0GBR04SKZ,GAM Star European Equity Ord GBP Acc,GBP,4,3,Europe Large-Cap Growth Equity,0.0,0.16,2.47,8.33,10.57,8.29,10.43,13.08,10.48,1.46,0.0,0.46,435189022.0,28068.32387,4,-2.38,1.18,87.67,16.32,0.66,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0
F0GBR06HYY,GAM Star European Equity Ord USD Acc,USD,4,3,Europe Large-Cap Growth Equity,0.0,0.38,2.49,10.19,17.83,12.04,12.4,12.76,8.96,1.46,0.0,0.46,435189022.0,28068.32387,4,-2.4,1.18,87.67,16.32,0.66,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0
F000000G8T,Generali IS Euro Future Leaders DX,EUR,1,4,Eurozone Mid-Cap Equity,0.0,0.57,1.25,7.32,15.29,13.82,2.36,4.9,6.16,2.0,0.0,0.23,252044835.0,5517.486129999999,4,-5.4,1.07,96.12,20.59,0.15,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0
F0GBR04HZO,Generali IS SRI European Equity DX,EUR,3,3,Europe Large-Cap Blend Equity,0.0,1.07,2.63,8.61,14.79,12.83,5.65,6.49,5.77,1.71,0.0,0.11,217126765.0,35450.75753,3,-1.54,0.96,98.2,14.79,0.34,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0
F00000JVS5,GlobalAccess Eurp ex-UK Alpha A Acc EUR,EUR,3,3,Europe ex-UK Equity,0.29802,1.11,2.14,8.61,16.99,14.1,9.76,8.78,8.16,1.82,0.0,0.03,102130288.0,28493.655889999998,3,-0.1,1.05,98.4,16.38,0.58,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,0,0,0,0,0,0
F0GBR06KZJ,GlobalAccess Eurp ex-UK Alpha B Acc EUR,EUR,3,3,Europe ex-UK Equity,0.51593,1.13,2.19,8.7,17.14,14.24,10.06,9.05,8.42,1.57,0.0,0.03,102130288.0,28493.655889999998,3,0.15,1.05,98.38,16.39,0.59,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0
F00000JVS8,GlobalAccess Eurp ex-UK Alpha M Acc EUR,EUR,3,3,Europe ex-UK Equity,0.95147,1.1,2.23,8.8,17.4,14.46,10.6,9.6,9.01,1.07,0.0,0.03,102130288.0,28493.655889999998,3,0.64,1.05,98.42,16.4,0.62,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,1,0
F00000JVS9,GlobalAccess Eurp ex-UK Alpha Z Acc EUR,EUR,2,3,Europe ex-UK Equity,0.008740000000000001,1.11,2.1,8.52,16.7,13.87,9.23,8.23,7.63,2.32,0.0,0.03,102130288.0,28493.655889999998,3,-0.59,1.05,98.38,16.34,0.55,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,1
F0GBR063MT,GS Europe CORE Equity Base Acc EUR,EUR,3,3,Europe Large-Cap Blend Equity,0.0,1.1,5.81,10.87,22.27,19.04,5.91,8.95,8.71,1.4,0.0,0.44,1475974337.0,32165.89553,4,-2.14,1.09,96.65,16.69,0.33,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0
F0GBR0687G,GS Europe CORE Equity E Acc EUR,EUR,3,3,Europe Large-Cap Blend Equity,0.0,1.1,5.76,10.78,21.97,18.82,5.38,8.4,8.16,1.9,0.0,0.44,1475974337.0,32165.89553,4,-2.64,1.09,96.6,16.71,0.3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,1,0
