SecId,Equity_Holding,giant_percent,large_percent,mid_percent,small_percent,micro_percent
F0GBR06G7A,17.07 Bil,28.18,33.38,28.25,7.55,0.82
F0GBR06G7C,17.07 Bil,28.18,33.38,28.25,7.55,0.82
F00000OMZQ,17.07 Bil,28.18,33.38,28.25,7.55,0.82
F000002KUP,25.22 Bil,43.14,26.05,21.73,6.54,0.08
F00000YMCF,45.04 Bil,48,34.68,15.2,0,0
F00000XBO1,45.04 Bil,48,34.68,15.2,0,0
F00000HH89,20.68 Bil,17.81,48,33.74,0,0
F00000VRC4,20.68 Bil,17.81,48,33.74,0,0
F00000VQIN,2.00 Bil,0,1.67,49.36,45.02,2.32
F0GBR04NBN,41.01 Bil,46.51,43.17,7.85,0,0
F0000003AR,36.78 Bil,45.91,39.25,12.9,0.05,0
F00000Q0EW,17.94 Bil,19.67,37.09,32.47,3.65,0
F00000VZWA,17.94 Bil,19.67,37.09,32.47,3.65,0
F00000Q0EX,17.94 Bil,19.67,37.09,32.47,3.65,0
F00000Q9WX,18.51 Bil,21.81,37.76,30.85,3.47,0
F00000Q9WW,18.51 Bil,21.81,37.76,30.85,3.47,0
F00000Q9WV,18.51 Bil,21.81,37.76,30.85,3.47,0
F00000W9N9,89.74 Bil,60.73,35.42,3.62,0,0
F0GBR04SKN,3.64 Bil,11.36,13.73,29.51,35.38,4.09
F0GBR06I2G,3.64 Bil,11.36,13.73,29.51,35.38,4.09
F00000WYDM,26.36 Bil,35.38,37.94,24.76,1.07,0
F00000LZGI,26.36 Bil,35.38,37.94,24.76,1.07,0
F00000NJCV,26.36 Bil,35.38,37.94,24.76,1.07,0
F00000XVJA,18.38 Bil,24.3,44.6,28.57,1.97,0
F000000I19,21.62 Bil,24.24,44.89,28.49,1.93,0
F00000Q3SI,21.62 Bil,24.24,44.89,28.49,1.93,0
F000000I15,19.82 Bil,21.95,41.44,32.12,3.63,0
F000000I18,19.82 Bil,21.95,41.44,32.12,3.63,0
F00000Z1CQ,,21.95,41.44,32.12,3.63,0
F00000QLX5,19.82 Bil,21.95,41.44,32.12,3.63,0
F000002TD6,2.75 Bil,0,5.4,58.51,29.65,4.32
F000002TD7,2.75 Bil,0,5.4,58.51,29.65,4.32
F00000SEBP,2.75 Bil,0,5.4,58.51,29.65,4.32
F00000SZ35,2.75 Bil,0,5.4,58.51,29.65,4.32
F0GBR04ARE,13.52 Bil,21.66,30.59,30.53,11.06,1.3
F0GBR0552X,13.52 Bil,21.66,30.59,30.53,11.06,1.3
F00000YX3I,13.52 Bil,21.66,30.59,30.53,11.06,1.3
F00000MQF9,13.49 Bil,13.72,39.14,32.49,11.7,0
F00000MQFB,13.49 Bil,13.72,39.14,32.49,11.7,0
F0GBR04LW5,5.09 Bil,5.66,16.35,39.26,30.57,3.41
F00000PLJ2,5.09 Bil,5.66,16.35,39.26,30.57,3.41
F0GBR0552S,5.09 Bil,5.66,16.35,39.26,30.57,3.41
F00000QBNN,5.09 Bil,5.66,16.35,39.26,30.57,3.41
F0GBR04IEZ,2.43 Bil,0,1.53,51.34,38.88,4.49
FOGBR05JFO,2.43 Bil,0,1.53,51.34,38.88,4.49
F0GBR0552T,2.43 Bil,0,1.53,51.34,38.88,4.49
FOGBR05JFP,2.43 Bil,0,1.53,51.34,38.88,4.49
F00000PLJ5,2.43 Bil,0,1.53,51.34,38.88,4.49
F00000NN3L,46.51 Bil,43.31,48.71,7.4,0,0
0P0000Y5T5,46.51 Bil,43.31,48.71,7.4,0,0
F00000NN3Q,46.51 Bil,43.31,48.71,7.4,0,0
0P0000YAHZ,46.51 Bil,43.31,48.71,7.4,0,0
F00000YWBD,46.51 Bil,43.31,48.71,7.4,0,0
F00000ZTBP,,28.18,33.38,28.25,7.55,0.82
F0GBR06FY9,2.44 Bil,0,0.34,59.05,35.12,3.04
F0GBR061CY,2.44 Bil,0,0.34,59.05,35.12,3.04
F0GBR06FYF,2.44 Bil,0,0.34,59.05,35.12,3.04
F0GBR06FYD,2.44 Bil,0,0.34,59.05,35.12,3.04
F000011D5T,5.58 Bil,0,24.59,60.81,14.05,0
F000011D60,5.58 Bil,0,24.59,60.81,14.05,0
F000011D5X,5.58 Bil,0,24.59,60.81,14.05,0
F000011D5W,5.58 Bil,0,24.59,60.81,14.05,0
F000011D61,5.58 Bil,0,24.59,60.81,14.05,0
F0GBR06FYH,2.44 Bil,0,0.34,59.05,35.12,3.04
F0GBR06FYI,2.44 Bil,0,0.34,59.05,35.12,3.04
F00000ZTBA,2.44 Bil,0,0.34,59.05,35.12,3.04
F00000VRLZ,26.07 Bil,3.72,9.53,41.1,40.01,2.14
0P0001AB97,26.07 Bil,3.72,9.53,41.1,40.01,2.14
0P00015YTR,26.07 Bil,3.72,9.53,41.1,40.01,2.14
0P00015YTU,26.07 Bil,3.72,9.53,41.1,40.01,2.14
0P00015YTX,26.07 Bil,3.72,9.53,41.1,40.01,2.14
0P00015YTO,26.07 Bil,3.72,9.53,41.1,40.01,2.14
F00000VRM0,26.07 Bil,3.72,9.53,41.1,40.01,2.14
0P00015YTV,26.07 Bil,3.72,9.53,41.1,40.01,2.14
0P00015YTY,26.07 Bil,3.72,9.53,41.1,40.01,2.14
F00000OS8P,37.64 Bil,0.77,22.47,37.54,21.84,13.58
0P0000X09J,37.64 Bil,0.77,22.47,37.54,21.84,13.58
0P0000X09H,37.64 Bil,0.77,22.47,37.54,21.84,13.58
0P0000X09I,37.64 Bil,0.77,22.47,37.54,21.84,13.58
0P0000X09G,37.64 Bil,0.77,22.47,37.54,21.84,13.58
0P0000XAIM,37.64 Bil,0.77,22.47,37.54,21.84,13.58
F00000TG5Z,37.64 Bil,0.77,22.47,37.54,21.84,13.58
