SecId,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F000002NYU,5.37,1,10.25,97.38,92.09,98.26,12.28,6.32,88.74,17.58,16.59,41.8,15.69,7,28.8,74.93,32.06,94.7,10.77,10.77,14.55
0P0001FSSP,5.37,1,10.25,97.38,92.09,98.26,12.28,6.32,88.74,17.58,16.59,41.8,15.69,7,28.8,74.93,32.06,94.7,10.77,10.77,14.55
F000010KNQ,5.37,1,10.25,97.38,92.09,98.26,12.28,6.32,88.74,17.58,16.59,41.8,15.69,7,28.8,74.93,32.06,94.7,10.77,10.77,14.55
F000010UCC,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
F000010UCF,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
F000010UCS,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
F000010UCT,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
F000010UCK,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
F000010UCN,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
F000010UCQ,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
F000010UCI,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
