SecId,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Top3_sector_percent,Top5_sector_percent
F00000ZYFV,44,11,\u2014,103.35,56.23,77.54
F0GBR05898,44,11,\u2014,103.35,56.23,77.54
F0GBR04DL1,62,11,\u2014,79.22,58.27,80.27
F00000NBK6,62,11,\u2014,79.22,58.27,80.27
F0GBR05ZM6,129,23,19,129.52,45.49,68.69
F00000W0H4,33,1,41,\u2014,60.45,80.15
F00000W1L0,33,1,41,\u2014,60.45,80.15
F00000W1L3,33,1,41,\u2014,60.45,80.15
F0000108LM,52,0,\u2014,\u2014,60.7,84.44
F00000WMCF,52,0,\u2014,\u2014,60.7,84.44
F00000WMCG,52,0,\u2014,\u2014,60.7,84.44
F000005HKD,56,5,45,27.3,100,100
F000005HKB,56,5,45,27.3,100,100
F0GBR04SFU,102,10,23,80.48,50.32,74.51
F00000O58N,102,10,23,80.48,50.32,74.51
F0GBR04SFV,102,10,23,80.48,50.32,74.51
F00000ZWU1,414,12,19,\u2014,58.88,75.54
F00000ZWU3,414,12,19,\u2014,58.88,75.54
F00000ZWU5,414,12,19,\u2014,58.88,75.54
F00000ZYU0,414,12,19,\u2014,58.88,75.54
F00000WRFE,56,32,\u2014,\u2014,47.33,72.2
F00000PJ5C,56,32,\u2014,\u2014,47.33,72.2
F00000WA62,56,32,\u2014,\u2014,47.33,72.2
F00000SJXL,56,32,\u2014,\u2014,47.33,72.2
F00000WRFH,50,16,\u2014,\u2014,69.66,88.24
F00000PSR6,50,16,\u2014,\u2014,69.66,88.24
F00000WA68,50,16,\u2014,\u2014,69.66,88.24
F00000SK12,50,16,\u2014,\u2014,69.66,88.24
F00000YM39,42,10,33,\u2014,51.42,71.97
F00000VP6G,134,2,23,\u2014,60.47,80.2
F0GBR04I5K,396,2,\u2014,455.24,49.21,72.55
F00000OXB7,396,2,\u2014,455.24,49.21,72.55
F000002X49,396,2,\u2014,455.24,49.21,72.55
F000002NUK,396,2,\u2014,455.24,49.21,72.55
F00000Q1F0,396,2,\u2014,455.24,49.21,72.55
F00000TEKM,396,2,\u2014,455.24,49.21,72.55
F000010DLP,396,2,\u2014,455.24,49.21,72.55
F00000VWIN,40,6,40,\u2014,55.45,78.51
F00000X577,111,16,28,90.77,48.49,71.84
F00000X3QF,55,27,\u2014,\u2014,46.58,69.75
F00000WHKG,55,27,\u2014,\u2014,46.58,69.75
F0GBR04AFY,49,228,\u2014,16.34,46.97,72.25
F0GBR04EYQ,49,228,\u2014,16.34,46.97,72.25
F0GBR061LR,49,228,\u2014,16.34,46.97,72.25
