SecId,Name,PriceCurrency,TenforeId,LegalName,ClosePrice,StarRatingM255,SustainabilityRank,QuantitativeRating,CategoryName,Yield_M12,GBRReturnD1,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,GBRReturnM120,MaxFrontEndLoad,OngoingCostActual,PerformanceFeeActual,TransactionFeeActual,MaximumExitCostAcquired,FeeLevel,ManagerTenure,MaxDeferredLoad,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,InvestorTypeRetail,InvestorTypeProfessional,InvestorTypeEligibleCounterparty,ExpertiseBasic,ExpertiseAdvanced,ExpertiseInformed,ReturnProfilePreservation,ReturnProfileGrowth,ReturnProfileIncome,ReturnProfileHedging,ReturnProfileOther,TrackRecordExtension
F00000QS7C,Mirova Euro Sustainable Equity R/A EUR,EUR,52.8.LU0914731947,Mirova Euro Sustainable Equity Fund R/A (EUR),139.65,3,5,,Eurozone Large-Cap Equity,0,-0.09,0.41,1.39,7.66,14.18,12.59,25.8,7.8,8.92,6.94,4,1.85,0.35,0.06,,,7.58,,854655902,2,25315.46508,2,0.92,0.95,98.61,17.32,0.45,1,1,1,1,1,1,3,1,3,3,2,TRUE
F00000S8UO,Mirova Europe Environmental Eq I/A EUR,EUR,52.8.LU0914732671,Mirova Europe Environmental Equity Fund I/A (EUR),24186.92,3,3,,Sector Equity Ecology,0,0.23,0.5,1.79,4.94,10.71,5.53,31.96,16.13,12.7,10.19,0,1.01,1.46,0.16,,,7.5,,2229605883,3,14043.04769,2,4.34,0.93,88.79,13.75,1.1,1,1,1,1,1,1,3,1,3,3,2,TRUE
F00000S8UQ,Mirova Europe Environmental Eq R/A EUR,EUR,52.8.LU0914733059,Mirova Europe Environmental Equity Fund R/A (EUR),205.81,3,3,,Sector Equity Ecology,0,0.22,0.48,1.71,4.71,10.19,5.09,30.9,15.28,11.86,9.25,4,1.87,1.3,0.16,,,7.5,,2229605883,3,14043.04769,2,3.61,0.93,88.74,13.76,1.05,1,1,1,1,1,1,3,1,3,3,2,TRUE
F00000MVCO,Mirova Europe Sust Eq I/A EUR,EUR,52.8.LU0552643099,Mirova Europe Sustainable Equity Fund I/A (EUR),511.96,2,3,,Europe Large-Cap Growth Equity,0,0.08,1.29,2.27,4.47,13.82,10.02,32.4,10.08,9.4,8.48,0,1.01,2.76,0.24,,,3.58,,344631619,2,14549.45105,5,-5.18,1.32,86,18.36,0.53,1,1,1,1,1,1,3,1,3,3,2,TRUE
F00000MVCQ,Mirova Europe Sust Eq R/A EUR,EUR,52.8.LU0552643339,Mirova Europe Sustainable Equity Fund R/A (EUR),442.11,2,3,,Europe Large-Cap Growth Equity,0,0.08,1.27,2.2,4.25,13.33,9.6,31.32,9.47,8.69,7.72,4,1.85,3.92,0.24,,,3.58,,344631619,2,14549.45105,5,-5.73,1.32,86.11,18.32,0.5,1,1,1,1,1,1,3,1,3,3,2,TRUE
F00000Q489,Montanaro European MidCap Instl EUR Acc,EUR,52.8.IE00BBT35895,Montanaro European MidCap Fund Institutional EUR Acc,3.166,5,4,,Europe Flex-Cap Equity,0,1.31,2.13,8.76,11.71,18.8,14.34,33.98,12.53,13.06,,0,0.83,1.87,-0.24,,,2.25,,148464592,6,8670.32136,2,6.61,0.79,78.3,14,0.84,1,1,1,1,1,1,2,1,2,2,2,FALSE
F0000044E6,Montanaro European Smlr Companies Acc €,EUR,52.8.IE00B411W698,Montanaro European Smaller Companies Fund EUR Acc,8.344,3,4,3,Europe Small-Cap Equity,0,0.88,0.25,6.33,8.17,19.18,11.88,39.32,12.41,12.57,10.77,0,1.59,1.64,1.16,,,2.92,,435004759,6,3260.79454,1,5.28,0.8,88.6,16.87,0.75,1,1,1,1,1,1,2,1,2,2,2,FALSE
F00000Q486,Montanaro European Smlr Comp Instl € Acc,EUR,52.8.IE00BBT35564,Montanaro European Smaller Companies Fund Institutional EUR Acc,9.272,4,4,,Europe Small-Cap Equity,0,0.88,0.26,6.42,8.43,20.21,12.37,42.3,14.06,14.18,,0,0.59,0,1.16,,,2.92,,435004759,6,3260.79454,2,6.68,0.81,88.4,17.34,0.83,1,1,1,1,1,1,2,1,2,2,2,FALSE
F00000Q488,Montanaro European Smlr Comp SEK Acc,SEK,52.8.IE00BBT35788,Montanaro European Smaller Companies Fund SEK Acc,28.19,3,4,3,Europe Small-Cap Equity,0,1.08,0.21,5.96,7.54,17.12,12.14,34.03,12.38,14.36,,0,1.59,0.99,1.16,,,2.92,,435004759,6,3260.79454,1,5.54,0.8,89.92,16.87,0.77,1,1,1,1,1,1,2,1,2,2,2,FALSE
F00000X14G,MS INVF Europe Opportunity A,EUR,52.8.LU1387591305,Morgan Stanley Investment Funds - Europe Opportunity Fund A,54.61,5,4,,Europe Flex-Cap Equity,0,0.57,1.47,9.07,9.95,18.67,14.32,57.42,21.59,16.52,,5.75,1.74,0,0.18,,,1.17,,1446090670,3,20445.32994,2,14.1,0.76,71.37,15.22,1.26,1,1,1,1,1,1,3,1,1,3,2,FALSE
0P00017OYK,MS INVF Europe Opportunity A USD,USD,52.8.LU1387591305USD,Morgan Stanley Investment Funds - Europe Opportunity Fund A USD,66.2,5,4,,Europe Flex-Cap Equity,0,0.06,0.99,8.63,11.64,18.72,12.95,67.72,22.66,18.19,,5.75,1.74,0,0.18,,,1.17,,1446090670,3,20445.32994,2,14.1,0.76,71.37,15.42,1.25,1,1,1,1,1,1,3,1,1,3,2,FALSE
F00000X14I,MS INVF Europe Opportunity I,EUR,52.8.LU1387591560,Morgan Stanley Investment Funds - Europe Opportunity Fund I,56.92,5,4,,Europe Flex-Cap Equity,0,0.57,1.48,9.15,10.16,19.13,14.73,58.68,22.56,17.45,,3,0.94,0,0.18,,,1.17,,1446090670,3,20445.32994,2,14.91,0.76,71.33,15.22,1.31,1,1,1,1,1,1,3,1,1,3,2,FALSE
0P00017OYL,MS INVF Europe Opportunity I USD,USD,52.8.LU1387591560USD,Morgan Stanley Investment Funds - Europe Opportunity Fund I USD,69,5,4,,Europe Flex-Cap Equity,0,0.06,1,8.7,11.87,19.19,13.36,69.03,23.64,19.14,,3,0.94,0,0.18,,,1.17,,1446090670,3,20445.32994,2,14.91,0.76,71.33,15.43,1.3,1,1,1,1,1,1,3,1,1,3,2,FALSE
F00000X14K,MS INVF Europe Opportunity Z,EUR,52.8.LU1387591727,Morgan Stanley Investment Funds - Europe Opportunity Fund Z,57.06,5,4,,Europe Flex-Cap Equity,0,0.56,1.48,9.14,10.18,19.15,14.74,58.76,22.61,17.51,,1,0.9,0,0.18,,,1.17,,1446090670,3,20445.32994,2,14.95,0.76,71.39,15.23,1.32,1,1,1,1,1,1,3,1,1,3,2,FALSE
0P00017OYM,MS INVF Europe Opportunity Z USD,USD,52.8.LU1387591727USD,Morgan Stanley Investment Funds - Europe Opportunity Fund Z USD,69.17,5,4,,Europe Flex-Cap Equity,0,0.06,1.01,8.71,11.87,19.2,13.37,69.12,23.69,19.19,,1,0.9,0,0.18,,,1.17,,1446090670,3,20445.32994,2,14.95,0.76,71.39,15.43,1.3,1,1,1,1,1,1,3,1,1,3,2,FALSE
F0GBR04BDY,MS INVF European Property A,EUR,52.8.LU0078113650,Morgan Stanley Investment Funds - European Property Fund A,37.99,1,5,,Property - Indirect Europe,0,0.21,1.71,6.65,15.12,20.83,18.35,29.84,1.29,1.78,5.68,5.75,1.65,0,0.26,,,23.75,,37761267,4,4036.57364,5,-4.73,1.33,89.06,24.26,0.1,1,1,1,1,1,1,3,1,1,3,2,FALSE
0P00000SIH,MS INVF European Property A USD,USD,52.8.LU0078113650USD,Morgan Stanley Investment Funds - European Property Fund A USD,46.05,1,5,,Property - Indirect Europe,0,-0.28,1.23,6.23,16.88,20.9,16.94,38.33,2.18,3.24,3.87,5.75,1.65,0,0.26,,,23.75,,37761267,4,4036.57364,5,-4.73,1.33,89.06,24.25,0.1,1,1,1,1,1,1,3,1,1,3,2,FALSE
F0GBR04SWZ,MS INVF European Property I,EUR,52.8.LU0078115192,Morgan Stanley Investment Funds - European Property Fund I,44.66,1,5,,Property - Indirect Europe,0,0.2,1.73,6.71,15.31,21.26,18.71,30.74,2,2.5,6.43,3,0.95,0,0.26,,,23.75,,37761267,4,4036.57364,5,-4.04,1.33,89.07,24.27,0.13,1,1,1,1,1,1,3,1,1,3,2,FALSE
0P00000SIJ,MS INVF European Property I USD,USD,52.8.LU0078115192USD,Morgan Stanley Investment Funds - European Property Fund I USD,54.14,1,5,,Property - Indirect Europe,0,-0.29,1.25,6.28,17.08,21.31,17.29,39.28,2.91,3.98,4.61,3,0.95,0,0.26,,,23.75,,37761267,4,4036.57364,5,-4.04,1.33,89.07,24.26,0.13,1,1,1,1,1,1,3,1,1,3,2,FALSE
F000002NQM,MS INVF European Property Z,EUR,52.8.LU0360481740,Morgan Stanley Investment Funds - European Property Fund Z,49.89,1,5,,Property - Indirect Europe,0,0.2,1.73,6.72,15.3,21.3,18.73,30.81,2.04,2.54,6.48,1,0.9,0,0.26,,,23.75,,37761267,4,4036.57364,5,-4,1.33,89.06,24.26,0.13,1,1,1,1,1,1,3,1,1,3,2,FALSE
0P0000KNQK,MS INVF European Property Z USD,USD,52.8.LU0360481740USD,Morgan Stanley Investment Funds - European Property Fund Z USD,60.48,1,5,,Property - Indirect Europe,0,-0.28,1.26,6.29,17.1,21.35,17.32,39.35,2.94,4.01,4.66,1,0.9,0,0.26,,,23.75,,37761267,4,4036.57364,5,-4,1.33,89.06,24.26,0.13,1,1,1,1,1,1,3,1,1,3,2,FALSE
F00000V1V4,MS INVF International Equity (ex US) I,USD,52.8.LU1121076738,Morgan Stanley Investment Funds - International Equity (ex US) Fund I,37.26,2,3,,Global Large-Cap Blend Equity,0,0.13,0.54,3.27,8.92,13.25,9.72,30.46,8.11,9.59,,3,0.94,0,0.17,,,6.58,,70873426,2,37821.28296,3,-4.6,0.97,89.27,14.88,0.43,1,1,1,1,1,1,3,1,1,3,2,FALSE
0P00014ZQW,MS INVF International Equity (ex US) I EUR,EUR,52.8.LU1121076738EUR,Morgan Stanley Investment Funds - International Equity (ex US) Fund I EUR,30.74,2,3,,Global Large-Cap Blend Equity,0,0.65,1.02,3.71,7.26,13.22,11.05,22.47,7.16,8.04,,3,0.94,0,0.17,,,6.58,,70873426,2,37821.28296,3,-4.6,0.97,89.27,15,0.42,1,1,1,1,1,1,3,1,1,3,2,FALSE
F00000V1V5,MS INVF International Equity (ex US) Z,USD,52.8.LU1121079674,Morgan Stanley Investment Funds - International Equity (ex US) Fund Z,37.35,2,3,,Global Large-Cap Blend Equity,0,0.16,0.54,3.26,8.96,13.28,9.76,30.5,8.15,9.63,,1,0.9,0,0.17,,,6.58,,70873426,2,37821.28296,3,-4.54,0.97,89.25,14.88,0.43,1,1,1,1,1,1,3,1,1,3,2,FALSE
0P00014ZQX,MS INVF International Equity (ex US) Z EUR,EUR,52.8.LU1121079674EUR,Morgan Stanley Investment Funds - International Equity (ex US) Fund Z EUR,30.81,2,3,,Global Large-Cap Blend Equity,0,0.65,1.02,3.7,7.28,13.23,11.07,22.5,7.2,8.07,,1,0.9,0,0.17,,,6.58,,70873426,2,37821.28296,3,-4.54,0.97,89.25,15.01,0.43,1,1,1,1,1,1,3,1,1,3,2,FALSE
F00000UP2V,MDPS TOBAM AntiBench Euro Equity B,EUR,52.8.LU1067854734,Most Diversified Portfolio SICAV- TOBAM Anti-Benchmark Euro Equity Fund B,125.12,2,3,,Eurozone Flex-Cap Equity,0,0.03,1.96,2.73,6.38,6.15,4.8,9.71,2.38,4.26,,3,2.24,0,0.5,,,15,,30411129.46,2,10339.55731,1,-2.48,0.61,78.96,12.2,0.12,1,1,1,2,1,1,2,1,2,2,2,TRUE
F00000UP2W,MDPS TOBAM AntiBench Euro Equity R1,EUR,52.8.LU1067854817,Most Diversified Portfolio SICAV- TOBAM Anti-Benchmark Euro Equity Fund R1,113.77,3,3,,Eurozone Flex-Cap Equity,0,0.04,1.99,2.87,6.78,6.94,5.48,11.31,3.88,5.79,,5,0.8,0,0.5,,,15,,30411129.46,2,10339.55731,1,-1.02,0.61,78.92,12.22,0.24,1,1,1,2,1,1,2,1,2,2,2,FALSE
F00000TW80,JB Eq Global Excell Eurp EUR B,EUR,52.8.LU1079019144,Multicooperation SICAV - Julius Baer Equity Global Excellence Europe EUR B,164.9,3,4,,Europe Large-Cap Growth Equity,0,0.16,1.38,2.86,10.71,17.45,15.02,26.62,11.33,10.41,,5,1.51,0,0.34,,,6.92,,104250702,3,50806.73099,2,-0.3,0.95,95.33,12.83,0.79,1,1,1,1,1,1,2,1,3,3,2,FALSE
F00000TW81,JB Eq Global Excell Eurp EUR C,EUR,52.8.LU1079019227,Multicooperation SICAV - Julius Baer Equity Global Excellence Europe EUR C,146.2,4,4,,Europe Large-Cap Growth Equity,0,0.16,1.39,2.91,10.86,17.77,15.3,27.31,11.95,,,5,0.97,0,0.34,,,6.92,,104250702,3,50806.73099,2,0.26,0.95,95.33,12.83,0.83,1,1,1,1,1,1,2,1,3,3,2,FALSE
F00000TW82,JB Eq Global Excell Eurp EUR K,EUR,52.8.LU1079019490,Multicooperation SICAV - Julius Baer Equity Global Excellence Europe EUR K,152.49,3,4,,Europe Large-Cap Growth Equity,0,0.16,1.38,2.91,10.85,17.74,15.28,27.26,11.9,10.97,,5,1.01,0,0.34,,,6.92,,104250702,3,50806.73099,2,0.2,0.95,95.33,12.83,0.83,1,1,1,1,1,1,2,1,3,3,2,FALSE
F0GBR04SFG,MSMM European Small Cap A,EUR,52.8.IE0004307934,"Multi-Style, Multi-Manager Funds plc - The European Small Cap Fund A",3736.37,2,3,,Europe Small-Cap Equity,0,-0.17,-0.06,0.54,9.39,24.04,18.01,43.01,5.45,8.54,9.26,5,2.13,0,0.59,,,2.25,,53230472,5,2464.49043,4,-3.74,1.05,98.54,20.81,0.31,1,1,1,1,1,1,2,1,2,2,2,FALSE
F0GBR050LT,MSMM European Small Cap B,EUR,52.8.IE0004308122,"Multi-Style, Multi-Manager Funds plc - The European Small Cap Fund B",4285.96,2,3,,Europe Small-Cap Equity,0,-0.17,-0.05,0.59,9.56,24.41,18.32,43.86,6.08,9.19,9.92,5,1.53,0,0.59,,,2.25,,53230472,5,2464.49043,4,-3.14,1.05,98.54,20.82,0.34,1,1,1,1,1,1,2,1,2,2,2,TRUE
F000000ARY,MSMM Eurozone Equity A Rtl EUR,EUR,52.8.IE00B0DD1V33,"Multi-Style, Multi-Manager Funds plc - The Eurozone Equity Fund A Retail Euro",1365.67,3,2,,Eurozone Large-Cap Equity,0,-0.12,0.18,2.44,9.35,19.54,17.57,35.37,4.21,6.96,6.3,5,2.05,0,0.4,,,2.25,,122128014,2,15314.47801,4,-3.27,1.08,97.24,19.72,0.24,1,1,1,1,1,1,2,1,2,2,2,FALSE
F0GBR068QV,MSMM Eurozone Equity B Instl EUR,EUR,52.8.IE00B0DD2329,"Multi-Style, Multi-Manager Funds plc - The Eurozone Equity Fund B Institutional Euro",2102.13,3,2,,Eurozone Large-Cap Equity,0,-0.12,0.2,2.5,9.51,19.9,17.88,36.19,4.84,7.61,6.94,5,1.45,0,0.4,,,2.25,,122128014,2,15314.47801,4,-2.67,1.08,97.25,19.73,0.27,1,1,1,1,1,1,2,1,2,2,2,FALSE
F00000R6QK,DNCA Euro Value Equity I/A EUR,EUR,52.8.LU0935226307,Natixis AM Funds - DNCA Euro Value Equity I/A (EUR),13131.57,2,2,,Eurozone Large-Cap Equity,0,-0.18,0.79,3.33,9.81,17.67,17.53,33.37,5.2,6.13,3.75,0,1.21,0,0.08,,,7.58,,37754918,2,12168.8363,5,-3.02,1.17,96.97,21.54,0.27,1,1,1,1,1,1,3,1,3,3,2,TRUE
