,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent,Equity_Holding_Amount,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F00000SJXW,22.64,2.88,1.54,12.85,0.77,11.12,-1.1,-1.78,34.34,-3.3,68,17,31,105.33,,70.68,87.28,8.85 Bil,18.55,22.19,21.24,18.83,13.68,32.67,24.37,86.66,90.59,23.63,93.78,15.22,10.52,90.43,26.95,21.9,76.23,16.17,11.63,84.52,28.34,9.92,59.5,22.75,17.55,84.81
F0GBR05YZP,16.82,2.49,2.28,13.53,1.75,13.51,-7.18,-5.78,1.33,-2.35,99,2,,160.22,87.57,50.34,70.96,31.26 Bil,34.45,35.85,23.61,3.89,0,57.44,28.21,66.3,45.84,21.66,57.62,56.17,19.43,76.28,74.33,45.2,80.99,38.32,35.07,80.43,60.77,49.33,88.29,54.68,53.01,72.85
F000003YAQ,15.02,2.27,1.88,12.82,1.73,12.13,-3.98,-4.46,5.3,0.35,78,5,24,49,86.43,46.49,68.18,38.96 Bil,37.23,38.7,19.27,1.61,0,61.65,36.43,71.06,54.47,28.21,55.01,58.91,30.74,91.46,46.12,29.41,87.58,47.9,35.81,83.18,60.88,44.02,85.79,66.08,58.36,78.61
F00000X14V,17.21,2.22,1.91,11.81,2.03,12.64,-4.51,-4.06,3.48,0.74,0,90,,,,43.88,63.93,49.01 Bil,46.3,33.77,18.2,1.84,0.21,55.77,52.9,68.1,34.71,20.72,37.46,61.79,33.02,72.12,67.18,58.01,72.35,47.13,33.36,73.24,52.64,41.52,80.63,68.28,60.46,73.25
F00000V1V4,17.64,2.85,2.12,13.82,2.36,9.78,-2.64,-3.71,4.59,5.61,55,4,30,-5.01,,53.24,79.28,52.18 Bil,30.41,29.69,6.44,0,0,50.91,25.59,60.64,34.71,34.71,67.05,61.03,36.21,85.24,27.16,27.16,72.5,76.81,55.98,94.06,75.56,48.49,83.38,86.79,83.81,93.23
F00000TQLQ,17.24,2.19,1.71,12.63,1.93,13.16,-5.3,-5.25,0.12,-0.22,0,25,,,,44.08,65.28,30.44 Bil,34.79,34.34,20.35,4.15,1.01,42.91,42.08,59.2,51.55,30.72,55.55,52.94,31.1,69.66,50.11,44.79,59.27,38.41,31.57,66.81,47.51,44.17,77.94,56.39,51.69,60.65
F0GBR06L03,17.18,2.53,2.39,13.86,1.81,14.06,-0.27,-6.38,3.2,-1.23,65,5,,,79.3,49.64,69.48,71.00 Bil,56.58,26.42,12.14,0.91,0.03,50.51,40.91,72.44,38.11,14.62,48.82,71.62,22.92,89.75,53.81,34.23,69.32,56.21,20.39,81.43,74.21,40.72,89.24,83.79,60.7,88.09
F000002DGO,16.4,2.14,1.56,10.98,2.28,9.92,-4.32,-5.11,-3.16,0.08,34,23,39,17.42,97.26,42.39,63.51,32.71 Bil,35.03,37.32,19.27,4.73,0.72,63.55,49.77,72.38,31.79,19.29,33.69,75.81,29.84,82.09,80.26,66.55,87.39,47.71,31.83,81.76,41.89,38.73,85.16,53.98,53.36,64.55
F00000ONYS,16.65,2.13,1.79,11.44,2.16,12.09,-5.93,-5.23,1.78,-0.45,0,11,100,13.97,90.46,40.44,62.29,43.05 Bil,42.5,33.19,19.65,1.99,0.13,60.41,58.07,70.41,32.09,19.82,35.39,67.96,33.87,70.77,73.15,61.52,75.03,44.18,35.57,74.48,48.4,40.82,79.84,64.6,61.53,72.98
F0GBR06IQR,16.65,2.13,1.79,11.44,2.16,12.09,-5.93,-5.23,1.78,-0.45,0,11,100,13.97,90.46,40.44,62.29,,42.5,33.19,19.65,1.99,0.13,60.41,58.07,70.41,32.09,19.82,35.39,67.96,33.87,70.77,73.15,61.52,75.03,44.18,35.57,74.48,48.4,40.82,79.84,64.6,61.53,72.98
F0GBR04H8N,19.33,2.6,1.86,14.21,1.73,10.28,-4.57,-7.61,4.53,1.39,45,9,43,60.67,,44.13,67.67,16.39 Bil,25.67,29.98,31.81,9.79,1.62,37.87,31.86,55.31,62.1,42.97,66.23,80.04,27.63,83.64,26.51,23.17,48.18,49.79,29.21,79.41,60.72,38.27,81.12,36.1,33.16,40.81
F00000V667,18.86,3.04,1.53,10.62,2.38,7.88,-1.2,1.69,12.42,2.82,35,25,39,6.5,,75.72,90.76,34.69 Bil,36.41,46.84,13.65,2.76,0,70.63,46.06,82.71,33.16,20.58,70.93,95.63,6.48,96.69,67.36,42.48,84.63,86.52,71.21,96.66,36.76,28.6,70.21,55.03,51.94,65.67
F0GBR04VE4,18.86,3.04,1.53,10.62,2.38,7.88,-1.2,1.69,12.42,2.82,35,25,39,6.5,,75.72,90.76,34.69 Bil,36.41,46.84,13.65,2.76,0,70.63,46.06,82.71,33.16,20.58,70.93,95.63,6.48,96.69,67.36,42.48,84.63,86.52,71.21,96.66,36.76,28.6,70.21,55.03,51.94,65.67
F0000100NM,26.94,5.14,3.37,16.84,1.92,8.72,1.68,1.14,0.58,3.5,25,1,60,,,85.95,98.12,37.09 Bil,44.84,39.68,8.35,4.39,0.08,21.92,7.41,39.49,60.77,39.03,82.63,88.07,5.27,92.74,68.31,25.66,71.03,79.01,31.9,94.82,80.57,30.84,93.85,66.3,53.87,70.06
F00000U3N9,26.94,5.14,3.37,16.84,1.92,8.72,1.68,1.14,0.58,3.5,25,1,60,,,85.95,98.12,37.09 Bil,44.84,39.68,8.35,4.39,0.08,21.92,7.41,39.49,60.77,39.03,82.63,88.07,5.27,92.74,68.31,25.66,71.03,79.01,31.9,94.82,80.57,30.84,93.85,66.3,53.87,70.06
F00000W14P,22.95,2.32,1.08,8.08,2.35,10.74,3.33,6.11,21.09,8.26,107,1,17,,,62.74,81.57,3.24 Bil,0,6.73,56.54,31.69,2.22,9.3,3.92,16.18,93.25,92.07,97.86,7.5,1,19.67,49.04,14.46,57.04,17.45,5.93,36.49,23.94,15.86,67.55,16.03,13.09,18.6
F00000PWXI,15.95,1.29,0.96,7.15,1.08,11.01,-16.34,-6.2,-29.79,1.77,40,2,,153.98,,66.05,88.07,8.42 Bil,15.55,33.5,31.28,7.88,10.15,51.47,22.21,83.56,88.38,36,88.38,66.74,5.05,99.56,83.1,41.41,95.04,33,3.23,51.61,19.25,4.37,86.79,24.8,22.06,35.64
F000000KDB,15.95,1.29,0.96,7.15,1.08,11.01,-16.34,-6.2,-29.79,1.77,40,2,,153.98,,66.05,88.07,8.42 Bil,15.55,33.5,31.28,7.88,10.15,51.47,22.21,83.56,88.38,36,88.38,66.74,5.05,99.56,83.1,41.41,95.04,33,3.23,51.61,19.25,4.37,86.79,24.8,22.06,35.64
F0GBR04ACG,17.23,1.71,1.26,10.84,0.76,12.17,-13.72,-2.55,12.21,4.73,36,1,,-95.74,,68.41,91.46,11.36 Bil,17.59,32.34,36.14,7.02,5.44,24.36,22.18,74.26,90.96,43.88,95.51,24.5,2.1,98.76,85.52,47.36,94.94,44.15,3.48,44.15,37.41,3.35,38.14,31.42,23.77,32.81
F0GBR04ACS,17.23,1.71,1.26,10.84,0.76,12.17,-13.72,-2.55,12.21,4.73,36,1,,-95.74,,68.41,91.46,11.36 Bil,17.59,32.34,36.14,7.02,5.44,24.36,22.18,74.26,90.96,43.88,95.51,24.5,2.1,98.76,85.52,47.36,94.94,44.15,3.48,44.15,37.41,3.35,38.14,31.42,23.77,32.81
F0GBR052JL,17.23,1.71,1.26,10.84,0.76,12.17,-13.72,-2.55,12.21,4.73,36,1,,-95.74,,68.41,91.46,11.36 Bil,17.59,32.34,36.14,7.02,5.44,24.36,22.18,74.26,90.96,43.88,95.51,24.5,2.1,98.76,85.52,47.36,94.94,44.15,3.48,44.15,37.41,3.35,38.14,31.42,23.77,32.81
F0GBR04B7V,16.7,1.7,1.21,10.46,1.21,17.63,-10.81,-3.15,8.77,6.14,40,3,56,62.35,,62.19,86.24,8.83 Bil,10.98,28.27,45.68,6.76,6.21,32.87,28.29,67.73,88.79,36.63,91.93,35.45,2.2,98.62,87.3,45.73,92.38,54.92,2.74,63.69,14.39,4.17,47.21,26.21,21.35,28.11
F00000ZI3T,20.46,1.76,1.29,8.81,1.56,8.89,8.94,2.19,4.62,7.51,77,31,-30,,,51.77,72.1,16.29 Bil,21.38,32.97,17.91,7.54,4.61,,,,,,,,,,,,,,,,,,,,,
F00000XLBX,20.46,1.76,1.29,8.81,1.56,8.89,8.94,2.19,4.62,7.51,77,31,-30,,,51.77,72.1,16.29 Bil,21.38,32.97,17.91,7.54,4.61,,,,,,,,,,,,,,,,,,,,,
F00000XQF3,20.05,2.03,2.58,19.07,1.37,14.32,-4.03,2.87,29.9,3.62,77,17,51,,,76.27,98.92,27.05 Bil,15,75.83,5.98,0,0,2.29,2.27,3.09,86.45,86.45,87.14,5.46,4.98,16.6,40.02,32.47,40.93,79.08,71.06,80.43,77.51,69.62,79.3,41.29,40.47,48.82
F0GBR04F1Q,17.65,2.29,1.25,8.58,1.48,10.31,4.63,0.65,22.34,2.56,112,35,17,306.6,,61.1,79.09,11.40 Bil,13.8,18.96,24.06,8.55,0.32,38.52,20.6,39.21,81.21,77.11,85.83,24.68,5.32,24.68,83.03,40.23,84.08,45.1,21.87,68.25,47.36,18.53,55.79,34.36,27.93,34.85
F00000X3G2,22.3,2.63,2.23,20.82,1.4,11.01,-8.94,-2.55,15.15,3.23,43,37,35,,,77.12,93.77,14.78 Bil,13.42,30.61,26.76,1.8,0,16.91,7.04,38.73,76.48,54.27,91.89,17.38,7.06,48.86,45.61,10.17,64.9,62.78,20.26,77.59,42.68,16.79,81.39,38.15,28.98,47.86
F00000Y4H0,12.04,1.06,0.99,5.09,1.87,13.57,-11.66,-4.52,6.06,-1.88,58,19,46,,,60,82.69,20.01 Bil,18.4,32.26,17.84,4.46,0,,,,,,,,,,,,,,,,,,,,,
F00000QP5S,27.07,3.18,2.54,21.41,1.19,14.37,-15.27,-13.58,3.77,1.02,126,58,1,457.53,,72.58,87.84,14.88 Bil,13.7,22.42,17.1,0.54,1.75,29.57,20.13,51.55,80.54,71.81,90.74,86.13,29.26,97.05,29.09,25.75,94.75,21.15,7.56,38.17,22.8,6.6,90.25,37.55,24.53,49.69
F0GBR04F8W,30.78,3.92,3.44,22.72,0.68,14.3,5.52,-4.52,17.89,13.2,130,35,12,323.16,,67.84,89.09,20.54 Bil,24.29,26.7,26.61,0.52,1.78,14.68,14.68,73.76,86.9,68.54,97.08,36.46,7.84,95.32,28.21,24.23,94.66,25.08,6.11,63.73,67.6,7.04,90.26,40.01,24.62,57.96
F00000XIB1,16.15,1.06,0.85,8.63,1.98,7.59,1.07,-12.66,-3.8,8.86,94,12,-17,,,58.68,79.56,21.77 Bil,28.16,27.51,26.86,3.73,0,80,13.38,80.35,26.24,26.24,94.59,40.75,13.24,61.73,65.74,12.78,91.64,43.22,19.02,92.44,31.71,18.1,75.07,43.63,34.49,67.09
F00000VXJ4,16.15,1.06,0.85,8.63,1.98,7.59,1.07,-12.66,-3.8,8.86,94,12,-17,,,58.68,79.56,21.77 Bil,28.16,27.51,26.86,3.73,0,80,13.38,80.35,26.24,26.24,94.59,40.75,13.24,61.73,65.74,12.78,91.64,43.22,19.02,92.44,31.71,18.1,75.07,43.63,34.49,67.09
F00000X7KU,12.66,1.64,1.35,10.19,1.21,18.68,-13.51,-5.94,-0.89,-3.45,199,2,,,,56.82,80.19,9.05 Bil,23.92,17.92,53.53,21.27,3.55,,,,,,,,,,,,,,,,,,,,,
F00000M89N,14.14,1.17,0.76,7.92,1.34,10.14,-16.82,-2.72,3.8,1.99,59,1,30,123.24,,58.56,78.69,7.68 Bil,0.62,37.75,24.01,12.89,0.06,67.99,15.47,68.1,63.8,41.7,92.12,79.78,4.61,87.92,86.11,20.61,89.77,10.09,7.43,41.08,19.08,9.26,46.75,29.12,26.52,36.89
F00000LYE7,14.14,1.17,0.76,7.92,1.34,10.14,-16.82,-2.72,3.8,1.99,59,1,30,123.24,,58.56,78.69,7.68 Bil,0.62,37.75,24.01,12.89,0.06,67.99,15.47,68.1,63.8,41.7,92.12,79.78,4.61,87.92,86.11,20.61,89.77,10.09,7.43,41.08,19.08,9.26,46.75,29.12,26.52,36.89
F00000LYE8,14.14,1.17,0.76,7.92,1.34,10.14,-16.82,-2.72,3.8,1.99,59,1,30,123.24,,58.56,78.69,7.68 Bil,0.62,37.75,24.01,12.89,0.06,67.99,15.47,68.1,63.8,41.7,92.12,79.78,4.61,87.92,86.11,20.61,89.77,10.09,7.43,41.08,19.08,9.26,46.75,29.12,26.52,36.89
F00000JNRB,21.47,1.81,1.39,11.33,0.75,12.39,2.87,-2.56,9.9,4.12,128,90,26,158.22,,62.42,82.2,5.82 Bil,9.62,18.51,48.08,10.84,6.14,16.99,3.04,25.94,95.15,82.98,100,30.47,1,97.85,30.68,11.61,48.64,17.92,1,26.48,37.8,7.44,78.11,22.58,12.24,22.58
F00000J00Q,9.88,1.06,0.57,4.99,2.4,9.34,-10.32,-5.14,10.72,-1.66,187,36,8,531.48,,50.34,74.09,4.37 Bil,8.43,17.75,35.67,25.09,6.64,94.72,56.23,94.8,45.61,12.58,81.58,72.21,2.23,96.46,70.13,16.46,88.3,14.44,11.76,37.69,37.57,16.32,76.54,15.9,14.17,29.12
F00000SJXX,21.22,2.47,2.16,14.45,1.29,12.5,-11.01,-0.59,10.31,5.71,50,5,44,142.93,,55.54,78.06,10.53 Bil,12.22,37.01,32.69,12.47,2.94,17.13,10.04,70.76,90.05,41.33,99.48,6.79,2.54,81.79,34.46,9.66,65.66,14.29,7.29,56.34,20.77,12.03,87.26,30.47,29.18,41.67
F000010AIS,23.48,2.89,2.53,15.1,2.2,10.6,-8.52,0.03,23.14,7.89,32,5,47,14.65,,52.42,73.51,9.70 Bil,12.16,35.91,30.03,17.95,2.11,16.11,13.04,40.34,72.21,31.74,98.81,49.62,8.3,83.15,9.14,5.77,23.57,33.05,7.78,53.92,88.98,78.93,97.26,27.69,17.03,27.69
F00000PVP6,23.56,3.01,2.74,16.37,2.05,12,-5.42,-0.34,20.26,5.09,25,4,56,40.61,,54.85,81.73,14.54 Bil,13.79,48.81,25.41,9.98,0,9.62,9.45,39.44,71.15,31.45,92.76,25.9,6.04,93.83,10.55,10.55,85.65,31.18,13.34,66.8,64.04,28.17,90.78,38.11,20.99,38.11
F000000PDU,23.18,3.02,2.76,16.49,2.01,12.65,-8.63,-1.13,15.45,3.8,31,7,55,44.07,,56.58,84.92,16.98 Bil,13.73,51.93,28.64,3.5,0,11.59,11.59,42.64,66.61,22.75,91.89,26.54,6.73,89.38,11.46,10.83,75.11,32.02,15.21,65.01,44.97,30.58,88.1,39.84,26.76,39.84
F00000OWQW,23.18,3.02,2.76,16.49,2.01,12.65,-8.63,-1.13,15.45,3.8,31,7,55,44.07,,56.58,84.92,16.98 Bil,13.73,51.93,28.64,3.5,0,11.59,11.59,42.64,66.61,22.75,91.89,26.54,6.73,89.38,11.46,10.83,75.11,32.02,15.21,65.01,44.97,30.58,88.1,39.84,26.76,39.84
F00000Y4U5,20.76,2.43,1.44,10.83,1.75,15.18,-6.21,1.81,20.43,3.76,45,1,39,,,56.06,74.92,52.32 Bil,11.94,17.12,38.05,21.72,6.07,23.95,19.13,64.37,70.21,43.14,79.43,15.47,8.72,95.74,18.82,14.23,51.87,48.77,6.56,49.75,89.74,47.1,91.06,18.57,14.73,21.46
F00000OLO9,20.76,2.43,1.44,10.83,1.75,15.18,-6.21,1.81,20.43,3.76,45,1,39,,,56.06,74.92,52.32 Bil,11.94,17.12,38.05,21.72,6.07,23.95,19.13,64.37,70.21,43.14,79.43,15.47,8.72,95.74,18.82,14.23,51.87,48.77,6.56,49.75,89.74,47.1,91.06,18.57,14.73,21.46
F0GBR06C3N,18.78,2.16,0.84,11.31,2.34,10.42,-7.79,6.81,16.36,7.65,41,5,56,65.4,,69.5,85.9,18.83 Bil,19.37,50.42,24.88,3.32,0.27,22.97,19.08,53.73,71.32,32.08,93.2,17.8,8.35,87.54,8.91,6.22,70.8,77.29,17.49,84.8,80.17,45.95,90.9,38.66,27.4,42.15
F0GBR053WS,24.77,3.47,2.08,13.8,1.37,10.42,-2.45,0.5,14.6,4.89,31,0,51,0.66,,79.53,93.35,20.38 Bil,18.54,50.13,20,11.33,0,17.63,8.48,48.61,71.9,25.67,99.48,19.8,4.8,93.13,5.53,4.15,25.24,25.6,13.37,87.14,75.58,26.49,90.87,38.56,34.47,50.51
F00000PWXJ,12.78,1.54,0.82,4.24,2.5,12.2,1.06,-3.71,31.16,-2.78,38,6,,49.11,,64.12,83.59,39.00 Bil,4.29,32.17,21.57,23.18,18.62,72.94,28.19,91.94,33.48,33.48,93.71,11,10.21,99.01,73.84,36.23,93.45,24.24,3.21,29.94,76.06,29.78,98.11,15.24,6.33,16.01
FOGBR05KM1,12.78,1.54,0.82,4.24,2.5,12.2,1.06,-3.71,31.16,-2.78,38,6,,49.11,,64.12,83.59,39.00 Bil,4.29,32.17,21.57,23.18,18.62,72.94,28.19,91.94,33.48,33.48,93.71,11,10.21,99.01,73.84,36.23,93.45,24.24,3.21,29.94,76.06,29.78,98.11,15.24,6.33,16.01
F00000033J,18.29,2.17,1.17,8.76,1.29,12.78,-2.18,-2.04,39.64,5.81,161,8,34,-10.84,,58.31,79.49,,,,,,,28.5,11.4,37.08,84.6,77.03,95.71,12.83,4.18,89.13,8.45,3.17,12.77,11.08,4.52,37.29,94.42,93.66,100,5.66,3.12,7.24
F00000QJGT,18.29,2.17,1.17,8.76,1.29,12.78,-2.18,-2.04,39.64,5.81,161,8,34,-10.84,,58.31,79.49,1.13 Bil,0,0,31.08,49.2,16.94,28.5,11.4,37.08,84.6,77.03,95.71,12.83,4.18,89.13,8.45,3.17,12.77,11.08,4.52,37.29,94.42,93.66,100,5.66,3.12,7.24
F00000Y8IA,16.91,1.8,1.01,7.87,1.85,14.1,7.64,3.41,13.37,0.81,44,1,40,,,54.38,80.48,26.91 Bil,0,11,42.27,28.2,11.6,37.96,33.79,71.88,57.28,32.83,83.17,10.91,3.86,98.18,80.45,69.4,93.7,20.27,4.8,28.44,94.62,88.4,99.18,12.37,8.8,14.88
F00000Y4U4,16.91,1.8,1.01,7.87,1.85,14.1,7.64,3.41,13.37,0.81,44,1,40,,,54.38,80.48,26.91 Bil,0,11,42.27,28.2,11.6,37.96,33.79,71.88,57.28,32.83,83.17,10.91,3.86,98.18,80.45,69.4,93.7,20.27,4.8,28.44,94.62,88.4,99.18,12.37,8.8,14.88
F00000PXNQ,18.09,2.16,1.17,11.18,2.29,8.46,-7.56,6.1,5.8,4.19,43,2,53,,,56.43,79.81,43.94 Bil,2.35,17.45,48.69,19.96,8.35,26.61,21.63,61.8,53.65,27.59,79.66,10.34,2.64,95.98,52.5,30.29,90.88,15.6,5.33,25.72,92.87,65.83,97.67,20.4,14.77,22.81
F00000LOWI,18.09,2.16,1.17,11.18,2.29,8.46,-7.56,6.1,5.8,4.19,43,2,53,,,56.43,79.81,43.94 Bil,2.35,17.45,48.69,19.96,8.35,26.61,21.63,61.8,53.65,27.59,79.66,10.34,2.64,95.98,52.5,30.29,90.88,15.6,5.33,25.72,92.87,65.83,97.67,20.4,14.77,22.81
F00000QJXR,11.35,1.52,1.22,8.46,2.28,9.62,-6.14,-77,2.01,-56.57,73,9,44,0.84,,49.77,76.17,18.59 Bil,2.93,7.92,29.33,39.3,19.09,44.31,33.05,77.84,48.17,32.27,90.13,7.31,2,98.56,81.96,35.01,97.02,12.34,2.86,15.98,93.46,75.28,100,10.63,6.99,12.7
F00000QJY5,11.35,1.52,1.22,8.46,2.28,9.62,-6.14,-77,2.01,-56.57,73,9,44,0.84,,49.77,76.17,18.59 Bil,2.93,7.92,29.33,39.3,19.09,44.31,33.05,77.84,48.17,32.27,90.13,7.31,2,98.56,81.96,35.01,97.02,12.34,2.86,15.98,93.46,75.28,100,10.63,6.99,12.7
F00000SJ0A,18.66,0.88,8.93,22.73,2.83,7.86,-14.78,3.12,-14.13,5.4,29,6,54,95.8,,100,100,5.93 Bil,0,19.5,75.2,4.07,0,51.36,30.09,84.1,18.38,18.38,74.79,89.78,10.39,99.05,53.08,24.22,93.69,39.84,18.46,98.14,39.72,17.9,86.77,17.79,16.7,23.16
F00000SJ08,18.66,0.88,8.93,22.73,2.83,7.86,-14.78,3.12,-14.13,5.4,29,6,54,95.8,,100,100,5.93 Bil,0,19.5,75.2,4.07,0,51.36,30.09,84.1,18.38,18.38,74.79,89.78,10.39,99.05,53.08,24.22,93.69,39.84,18.46,98.14,39.72,17.9,86.77,17.79,16.7,23.16
F00000W9RL,18.51,1.19,8.34,25.36,2.62,6.52,-9.28,6.75,4.78,12.01,32,5,49,,,99.99,99.99,4.53 Bil,0,21.29,62.92,14.34,0,26.57,14.14,75.31,32.62,32.62,83.82,84.64,5.18,98.08,33.98,19.63,64.78,82.86,24.53,97.99,75.15,36.22,91.35,16.04,14.16,19.06
F000014J0X,18.51,1.19,8.34,25.36,2.62,6.52,-9.28,6.75,4.78,12.01,32,5,49,,,99.99,99.99,4.53 Bil,0,21.29,62.92,14.34,0,26.57,14.14,75.31,32.62,32.62,83.82,84.64,5.18,98.08,33.98,19.63,64.78,82.86,24.53,97.99,75.15,36.22,91.35,16.04,14.16,19.06
F0000101BR,13.39,1,5.04,14.93,4.94,6.91,-1.44,7.7,-0.73,6.72,36,9,46,-27.98,,100,100,2.83 Bil,0,12.94,37.12,27.14,6.96,60.03,31.92,84.02,9.99,9.99,55.86,84.45,5.88,95.12,80.73,63.8,95.61,84.46,28.51,96.06,94.41,94.41,100,13.5,8.97,17.22
F00000GXE3,17.22,0.92,7.07,19.38,2.81,6.4,-9.34,8.12,-0.86,11.4,82,24,44,4.12,,100,100,4.45 Bil,0,15.63,49.96,13.45,0.62,35.79,15.44,74.91,20.54,18.65,81.1,81.39,3.08,99.09,71.79,44.93,90.05,82.89,37.28,98.51,71.08,28.6,96.19,20.51,14.59,24.1
F00000GXE7,17.22,0.92,7.07,19.38,2.81,6.4,-9.34,8.12,-0.86,11.4,82,24,44,4.12,,100,100,4.45 Bil,0,15.63,49.96,13.45,0.62,35.79,15.44,74.91,20.54,18.65,81.1,81.39,3.08,99.09,71.79,44.93,90.05,82.89,37.28,98.51,71.08,28.6,96.19,20.51,14.59,24.1
F0GBR063QR,20.3,1.04,9.31,22.4,3,8.15,-7.7,4.67,-7.21,3.35,51,99,50,37.13,,100,100,5.98 Bil,0,24.08,66.92,7.98,0,35.99,19.89,71.91,23.32,23.32,83.58,89.13,6.87,98.54,61.31,26.62,86.76,49.77,30.21,98.24,67.1,34.24,94.28,17.46,16.29,21.7
F000005HKD,15.2,0.96,7.28,22.06,2.76,5.26,-10.15,2.23,-7.2,3.27,56,5,45,27.3,,100,100,3.11 Bil,0,17.2,47.43,22.52,8.12,42.57,26.73,82.86,27.07,20.57,73.86,86.76,10.24,98.78,65.41,32.53,82.08,33.78,20.48,97.54,84.37,43.01,94.12,16.15,14.8,21.59
F00000QDUX,14.65,0.96,7.04,20.19,3.46,5.15,-10.05,5.89,-6.17,4.91,56,7,46,0.68,,100,100,6.03 Bil,0,23.34,60.28,9.91,1.14,51.2,28.48,83.72,13.38,13.38,78.57,89.53,5.88,98.23,69.33,35.29,90.44,63.8,28.99,98.45,71.5,31.15,94.06,17.82,16.95,22.18
F0GBR04E8X,16.3,1.07,7.47,23.97,2.16,7.2,-8.35,1.48,-6.8,12.93,32,16,53,-60.37,,99.99,99.99,5.70 Bil,0,26.66,52.44,16.47,0.57,22.17,14.7,79.31,33.19,33.19,85.56,82.76,5.66,99.02,61.4,26.09,84.57,81.28,27.07,94.54,86,46.72,93.63,16.43,13.99,20.69
F0GBR04BDY,18.74,0.89,7.54,20.53,3.26,6.24,-17.15,5.92,-11.89,0.66,29,4,55,47.68,,100,100,4.64 Bil,0,19.25,56.17,20.07,0,67.45,33.07,90.11,11.63,8.96,77.85,94.76,19.26,99.96,63.74,17.56,76.48,31.11,5.08,98.27,65.6,20.85,94.42,15.36,14.93,21.86
F00000OS8P,20.46,1.22,5.4,15.39,2.36,8.05,-3.57,0.09,7.34,8.53,36,25,39,0.44,,99.11,100,37.64 Bil,0.77,22.47,37.54,21.84,13.58,37.5,20.8,66.95,37.24,31.63,84.42,93.4,8.86,96.29,83.28,82.16,95.76,68.46,33.36,87.44,91.35,82.59,97.51,13.91,12.71,22.44
F00000ZZ5P,35.89,6.75,5.16,34.96,0.64,18.82,-12.3,-1.51,-3.55,0.6,34,1,46,-6.63,,100,100,34.07 Bil,31.45,39.46,20.96,3.85,0,12.69,3.72,19.55,94.81,64.84,95.35,21.98,3.8,92.76,71.91,2.11,73.02,56.98,19.93,87.16,83.34,43.89,95.42,48.95,40.29,62.05
F000000RTO,35.89,6.75,5.16,34.96,0.64,18.82,-12.3,-1.51,-3.55,0.6,34,1,46,-6.63,,100,100,34.07 Bil,31.45,39.46,20.96,3.85,0,12.69,3.72,19.55,94.81,64.84,95.35,21.98,3.8,92.76,71.91,2.11,73.02,56.98,19.93,87.16,83.34,43.89,95.42,48.95,40.29,62.05
F00000UMAF,17.64,3.16,2.04,13.14,3.3,8.93,-5.12,2.4,11.18,8.4,22,13,62,,,100,100,21.44 Bil,25.92,41.27,30.8,0,0,67.87,55.46,71.37,11.94,11.94,61.69,92.16,41.8,93.12,76.46,71.13,89.8,80.97,36.55,95.74,87.56,72.73,94.81,42.93,42.41,61.58
F00000Y8YN,17.64,3.16,2.04,13.14,3.3,8.93,-5.12,2.4,11.18,8.4,22,13,62,,,100,100,,,,30.8,0,0,67.87,55.46,71.37,11.94,11.94,61.69,92.16,41.8,93.12,76.46,71.13,89.8,80.97,36.55,95.74,87.56,72.73,94.81,42.93,42.41,61.58
F00000Z4XQ,37.01,4.76,5.79,29.03,0.73,12.97,-11.17,-0.39,-0.54,11.27,23,1,46,118.01,,84.48,100,47.97 Bil,30.82,37.76,11.28,0,0,14.76,2.33,19.69,93.01,59.72,95.94,30.66,6.15,84.99,35.16,3.36,46.06,76.55,26.32,83.57,80.4,16.44,91.85,58.25,33.2,61.5
F00000OQRQ,37.01,4.76,5.79,29.03,0.73,12.97,-11.17,-0.39,-0.54,11.27,23,1,46,118.01,,84.48,100,47.97 Bil,30.82,37.76,11.28,0,0,14.76,2.33,19.69,93.01,59.72,95.94,30.66,6.15,84.99,35.16,3.36,46.06,76.55,26.32,83.57,80.4,16.44,91.85,58.25,33.2,61.5
F0000139KC,20.31,2.17,1.43,15.78,1.55,12.72,-11.21,-3.01,3.61,0.28,65,17,24,,,54.75,73.51,23.49 Bil,31.04,42.5,24.25,0.8,0.8,35.68,30.74,49.52,71.65,51.63,76.25,31.74,10,62.61,63.79,43.44,74.58,39.41,32.54,89.91,24.99,23.69,69.05,44.53,44.53,62.32
F00000THQW,17.36,2.36,1.23,9.98,1.5,12.91,-4.38,0.78,12.82,2.78,51,5,29,80.76,,63.69,83.7,15.50 Bil,24.49,23.52,36.39,10.71,0.02,50.35,46.73,89.78,61.1,17.87,67.97,20.11,10.27,96.73,72.81,46.84,88.97,36.19,22.01,68.3,26.25,18.3,76.11,34.54,31.18,82.87
