,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent,Equity_Holding_Amount,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F0GBR05SC4,15.25,1.67,1.17,7.98,2.7,12.76,-4.89,-2.38,6.2,-1.55,49,8,35,226.26,,52.76,75.21,56.43 Bil,57.63,36.81,3.82,0,0,73.8,73.8,95.09,15.41,6.53,44.15,68.58,34.61,93.03,89.64,67.51,94.66,86.11,34.21,96.07,29.04,17.38,74.25,85.32,63.73,86.22
F00000J84S,15.95,2.24,2.09,11.43,2.79,8.1,-0.87,-10.07,-3.57,3,40,11,35,-17.69,,54.23,72.22,40.78 Bil,46.55,44.07,7.76,0,0,56.86,29.22,79.5,23.46,11.82,51.04,85.52,12.95,90.27,20.88,14.84,84.96,83.52,37.77,94.85,68.71,48,86.52,72.35,52.25,76.28
F00000J84V,15.95,2.24,2.09,11.43,2.79,8.1,-0.87,-10.07,-3.57,3,40,11,35,-17.69,,54.23,72.22,40.78 Bil,46.55,44.07,7.76,0,0,56.86,29.22,79.5,23.46,11.82,51.04,85.52,12.95,90.27,20.88,14.84,84.96,83.52,37.77,94.85,68.71,48,86.52,72.35,52.25,76.28
F00000ZSTR,23.87,3.29,2.81,17.94,1.81,8.66,-3.78,-1.21,2.46,6.38,45,16,35,47.58,,50.68,75.77,35.33 Bil,46.96,28.15,16.94,4.84,0,14.46,7.85,35.18,65.41,50.58,91.8,22.57,7.43,86.46,22.56,4.18,52.37,77.9,17.77,84.76,66.82,21.61,82.6,63.55,28.54,71.99
F00000X14G,31.84,5.09,4.89,26.62,0.37,17.06,-13,8.89,6.41,18.22,26,3,53,-117.75,,70.54,91.41,24.62 Bil,19.3,58.39,18.31,0,0,2.01,1,20.41,98.04,77.19,98.68,5.21,2.73,91.63,5.57,2.16,18.9,19.59,16.42,97.76,33.02,11.59,87.11,43.67,34.27,83.34
F00000VRC4,21.67,2.95,1.54,11.08,2.72,8.22,2.38,-0.46,11.38,3.86,119,19,13,76,,57.08,78.54,20.68 Bil,17.81,48,33.74,0,0,29.21,20.24,65.9,29.99,29.42,87.72,94.46,4.13,94.46,27.73,22.25,71.87,94.22,70.54,98.4,82.65,53.05,95.24,39.79,29.34,41.04
F00000HH89,21.67,2.95,1.54,11.08,2.72,8.22,2.38,-0.46,11.38,3.86,119,19,13,76,,57.08,78.54,20.68 Bil,17.81,48,33.74,0,0,29.21,20.24,65.9,29.99,29.42,87.72,94.46,4.13,94.46,27.73,22.25,71.87,94.22,70.54,98.4,82.65,53.05,95.24,39.79,29.34,41.04
F00001457X,14.86,1.97,1.04,7.29,3.06,8.26,3.12,-2.23,7.92,1.12,92,29,24,96.5,,43,67.51,35.69 Bil,38.85,39.17,18.73,0,0,71.88,52.8,75.62,13.5,12.24,54.64,63.28,30.14,80.09,44.4,40.44,77.13,85.5,38.89,90.86,26.22,17.68,52.35,61.87,32.18,62.21
F00000Q489,34.53,5.43,4.95,25.88,0.73,12.58,2.4,-7.48,18.23,12.49,25,1,47,62,,56.92,82.86,8.67 Bil,0,35.2,64.01,0,0,4.42,1,16.48,94.23,69.55,97.06,51.04,5.64,89.65,15.4,7.64,61.47,52.5,14.89,78.46,48.98,21.84,89.11,28.23,23.42,29.03
F0GBR04LW5,17.05,2.85,1.24,8.92,2.24,9.08,-8.56,-3.75,6.51,-0.71,31,4,46,193.88,,53.22,74.57,5.09 Bil,5.66,16.35,39.26,30.57,3.41,56.04,29.89,82.18,60.75,26.68,85.34,77.05,22.33,95.45,78.8,9.22,88.53,26.22,7.92,48.96,20.77,20.77,91.95,17.23,10.76,26.92
F0GBR0552S,17.05,2.85,1.24,8.92,2.24,9.08,-8.56,-3.75,6.51,-0.71,31,4,46,193.88,,53.22,74.57,5.09 Bil,5.66,16.35,39.26,30.57,3.41,56.04,29.89,82.18,60.75,26.68,85.34,77.05,22.33,95.45,78.8,9.22,88.53,26.22,7.92,48.96,20.77,20.77,91.95,17.23,10.76,26.92
F00000ZGCY,32.27,6.26,4.29,25.05,0.93,13.28,4.18,2.54,9.55,9.04,44,23,36,-38.75,,60.57,85.12,13.84 Bil,20.13,36,34.56,6.58,0,3.5,2.08,4.24,94.47,91,98.94,6.59,4.54,53.25,6.36,5.91,23.57,33.33,17.64,49.73,34.86,33.56,87.38,32.04,28.33,43.79
F00000Y4KZ,11.18,0.94,0.65,4.96,2.27,11.67,-10.34,-4.95,7.98,-3.36,87,12,26,,,60.97,83.31,13.39 Bil,17.16,33.65,28.09,10.96,0.85,94.31,90.77,97.82,33.46,4.59,41.33,88.88,26.59,97.53,88.39,54.3,90.74,18.72,13.51,44.52,24.65,11.41,33.38,32.05,29.6,43.27
