SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent
F00000PC3C,14.14,1.17,0.76,7.92,1.34,10.14,-16.82,-2.72,3.8,1.99
F00000LYE8,14.14,1.17,0.76,7.92,1.34,10.14,-16.82,-2.72,3.8,1.99
F00000LYE9,14.14,1.17,0.76,7.92,1.34,10.14,-16.82,-2.72,3.8,1.99
F00000ZZS6,13.13,1.1,0.69,7.19,1.29,9.74,-18.28,-3.24,-4.39,1.89
F00000ZZS7,13.13,1.1,0.69,7.19,1.29,9.74,-18.28,-3.24,-4.39,1.89
F00000JRPL,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89
F00000PC3E,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89
F00000QG19,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89
F00000PC3F,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89
F00000VJPH,14.45,1.8,0.86,9.58,3.13,8.47,-2.13,1.51,0.32,0.61
F00000SYCN,14.45,1.8,0.86,9.58,3.13,8.47,-2.13,1.51,0.32,0.61
F00000OY8C,22.5,2.67,1.75,14.83,1.79,10,-10.95,-0.11,7.38,4.87
F00000OY8D,22.5,2.67,1.75,14.83,1.79,10,-10.95,-0.11,7.38,4.87
F00000LKRF,18.09,2.16,1.17,11.18,2.29,8.46,-7.56,6.1,5.8,4.19
F00000PXNQ,18.09,2.16,1.17,11.18,2.29,8.46,-7.56,6.1,5.8,4.19
F00000WT8Z,18.09,2.16,1.17,11.18,2.29,8.46,-7.56,6.1,5.8,4.19
F00000LKIG,18.09,2.16,1.17,11.18,2.29,8.46,-7.56,6.1,5.8,4.19
F00000Y4U4,16.91,1.8,1.01,7.87,1.85,14.1,7.64,3.41,13.37,0.81
F00000U5XR,16.91,1.8,1.01,7.87,1.85,14.1,7.64,3.41,13.37,0.81
F00000V91N,16.91,1.8,1.01,7.87,1.85,14.1,7.64,3.41,13.37,0.81
F00000Y8IA,16.91,1.8,1.01,7.87,1.85,14.1,7.64,3.41,13.37,0.81
F00000N7ZW,26.7,4.56,3.94,21.44,1.12,9.53,-4.41,2.84,4.68,4.44
F000014XX2,8.39,0.89,0.9,6.11,2.35,12.97,-5.38,-8.01,3.35,0.24
F000003U74,8.39,0.89,0.9,6.11,2.35,12.97,-5.38,-8.01,3.35,0.24
F0GBR04INV,8.39,0.89,0.9,6.11,2.35,12.97,-5.38,-8.01,3.35,0.24
F0GBR04RUS,32.68,5.29,4.49,26.95,1.1,14.89,-3.77,2,-3.84,7.41
F0000045EX,32.68,5.29,4.49,26.95,1.1,14.89,-3.77,2,-3.84,7.41
F000000216,32.68,5.29,4.49,26.95,1.1,14.89,-3.77,2,-3.84,7.41
F000000NTM,24.51,2.95,2.69,15.51,1.58,9.51,-0.37,0.24,6.42,5.27
F00000OPVB,24.51,2.95,2.69,15.51,1.58,9.51,-0.37,0.24,6.42,5.27
F000000NTL,24.51,2.95,2.69,15.51,1.58,9.51,-0.37,0.24,6.42,5.27
F0GBR04RYO,19.2,2.35,2.29,13.49,1.57,10.6,-2.87,-6.17,7.83,1.92
F00000OPTJ,19.2,2.35,2.29,13.49,1.57,10.6,-2.87,-6.17,7.83,1.92
F0GBR04RYM,19.2,2.35,2.29,13.49,1.57,10.6,-2.87,-6.17,7.83,1.92
F000002KQ5,15.97,1.95,1.11,8.01,2.64,10.22,-0.03,-3.61,3.9,0.65
F00000Q8S8,15.97,1.95,1.11,8.01,2.64,10.22,-0.03,-3.61,3.9,0.65
F00000OPTK,15.97,1.95,1.11,8.01,2.64,10.22,-0.03,-3.61,3.9,0.65
F000002KQ6,15.97,1.95,1.11,8.01,2.64,10.22,-0.03,-3.61,3.9,0.65
F00000WCNE,27.16,3.21,2.52,17.26,1.12,7.1,-5.46,0.91,24.61,6.68
F00000WCNF,27.16,3.21,2.52,17.26,1.12,7.1,-5.46,0.91,24.61,6.68
F00000WCND,27.16,3.21,2.52,17.26,1.12,7.1,-5.46,0.91,24.61,6.68
F00000VF5A,16.51,1.87,1.39,10.08,2.27,9.58,-1.87,-1.76,12.22,2.83
F00000XKW9,16.51,1.87,1.39,10.08,2.27,9.58,-1.87,-1.76,12.22,2.83
F00000W9RL,18.51,1.19,8.34,25.36,2.62,6.52,-9.28,6.75,4.78,12.01
F00000W9RN,18.51,1.19,8.34,25.36,2.62,6.52,-9.28,6.75,4.78,12.01
F000014J0X,18.51,1.19,8.34,25.36,2.62,6.52,-9.28,6.75,4.78,12.01
F0GBR04EAC,29.48,4.68,3.61,21.32,0.83,10.31,0.97,1.25,22.59,6.02
F00000P8DK,29.48,4.68,3.61,21.32,0.83,10.31,0.97,1.25,22.59,6.02
F0000000QC,17.15,2.06,1.48,10.8,1.77,10,-5.85,-8.84,-2.25,1.04
F0GBR04FJH,17.15,2.06,1.48,10.8,1.77,10,-5.85,-8.84,-2.25,1.04
F0000000QF,15.89,1.61,1.27,8.29,2.14,10.91,-4.34,-1.62,12.25,1.81
F0GBR04JU9,15.89,1.61,1.27,8.29,2.14,10.91,-4.34,-1.62,12.25,1.81
F0GBR04S2B,16.01,1.6,1.23,9.72,1.83,9.59,-7.35,-4.2,4.3,1.54
F00000P7E5,18.21,2.2,1.84,11.8,2.08,10.14,-2.52,-3.02,2.05,2.33
F0GBR04SH0,14.98,1.57,1.06,8.61,2.3,9.45,-3.44,-5,12.22,0.09
F0GBR04SKV,14.98,1.57,1.06,8.61,2.3,9.45,-3.44,-5,12.22,0.09
F0GBR05WSI,15.71,1.9,1.39,10.06,2.49,8.71,-1.1,-4.13,7.99,-0.28
F000002JXQ,15.71,1.9,1.39,10.06,2.49,8.71,-1.1,-4.13,7.99,-0.28
F0GBR04SGT,14.62,1.75,1.21,9.26,2.47,8.21,1.93,-3.66,10.33,0.52
F0GBR06K35,14.62,1.75,1.21,9.26,2.47,8.21,1.93,-3.66,10.33,0.52
F000010098,22.5,2.67,1.75,14.83,1.79,10,-10.95,-0.11,7.38,4.87
F00000ZBNA,20.95,2.51,1.29,10.6,1,13.36,-7.99,-2.31,31.02,5.93
F0GBR04HX0,16.79,1.96,1.49,9.69,1.8,9.91,-5.94,-2.25,10.9,2.48
F00000MJWQ,16.73,1.95,1.17,10.91,1.94,12.1,-6.38,-5.49,16.09,4.65
F00000MJXW,16.73,1.95,1.17,10.91,1.94,12.1,-6.38,-5.49,16.09,4.65
F0GBR04BX9,14.62,1.75,1.21,9.26,2.47,8.21,1.93,-3.66,10.33,0.52
F0GBR04B7Z,31.86,4,3.98,21.99,1.02,12.28,-1.42,1.7,4.58,8.29
F0GBR04B82,31.86,4,3.98,21.99,1.02,12.28,-1.42,1.7,4.58,8.29
F0GBR04LG2,17.3,2.08,1.72,10.46,2.09,10.25,-1.44,-4.74,0.93,2.63
F0GBR04NOG,17.3,2.08,1.72,10.46,2.09,10.25,-1.44,-4.74,0.93,2.63
F00000MMM4,16.73,1.95,1.17,10.91,1.94,12.1,-6.38,-5.49,16.09,4.65
F00000MJWS,16.73,1.95,1.17,10.91,1.94,12.1,-6.38,-5.49,16.09,4.65
F00000MJXX,16.73,1.95,1.17,10.91,1.94,12.1,-6.38,-5.49,16.09,4.65
F00000V61B,16.73,1.95,1.17,10.91,1.94,12.1,-6.38,-5.49,16.09,4.65
F00000PFEI,20.37,3.19,1.78,12.38,2.58,7.73,-0.71,0.55,9.37,2.87
F00000PFEJ,20.37,3.19,1.78,12.38,2.58,7.73,-0.71,0.55,9.37,2.87
F00000P992,20.37,3.19,1.78,12.38,2.58,7.73,-0.71,0.55,9.37,2.87
F00000O55W,20.37,3.19,1.78,12.38,2.58,7.73,-0.71,0.55,9.37,2.87
