SecId,Name,StarRatingM255,SustainabilityRank,CategoryName,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension
F00000WXEM,BNPP E MSCI EM ex CW Trk Cl Cap,3,3,Global Emerging Markets Equity,0,3.64,1.59,-4.96,-2.64,2.47,18.37,8.93,9.04,3,1.05,0,5.5,61795951,2,33388.58648,3,-0.94,1,100,14.97,0.48,3,3,3,TRUE
0P00017LBS,BNPP E MSCI EM ex CW Trk Cl Cap EUR,3,3,Global Emerging Markets Equity,0,2.65,1.7,-2.24,-1.03,5.64,18.11,8.21,7.71,3,1.05,0,5.5,62054533,2,33388.58648,3,-0.94,1,100,14.97,0.48,3,3,3,FALSE
F00000WXER,BNPP E MSCI EM ex CW Trk I GBP Cap,3,3,Global Emerging Markets Equity,0,2.76,2.12,-2.51,-1.48,1.72,14.63,7.44,8.96,3,0.35,0,5.5,61901589,2,33388.58648,2,-0.24,1,100,14.98,0.53,3,3,3,TRUE
F00000WXEO,BNPP E MSCI EM ex CW Trk Privl Cap,3,3,Global Emerging Markets Equity,0,3.65,1.65,-4.79,-2.29,2.95,19.2,9.71,9.82,3,0.35,0,5.5,61795951,2,33388.58648,2,-0.23,1,100,14.97,0.53,3,3,3,TRUE
0P00017LBU,BNPP E MSCI EM ex CW Trk Privl Cap EUR,3,3,Global Emerging Markets Equity,0,2.67,1.77,-2.07,-0.69,6.15,18.94,8.99,8.48,3,0.35,0,5.5,62054533,2,33388.58648,2,-0.23,1,100,14.97,0.53,3,3,3,TRUE
F00000PXEJ,BNP Paribas Asia Ex-Jpn Eq C C,2,5,Asia ex-Japan Equity,0,2.76,0.8,-6.2,-8.9,-2.89,14.09,7.94,8.53,3,1.98,0.44,1.5,588710903.2,2,67108.81164,2,-2.03,0.96,96.77,14.45,0.42,3,3,3,TRUE
0P00019L5O,BNP Paribas Asia Ex-Jpn Eq C C SEK,2,5,Asia ex-Japan Equity,0,1.05,0.83,-2.74,-7.06,1.39,12.28,5.68,,3,1.98,0.44,1.5,588710903.2,2,67108.81164,2,-2.03,0.96,96.77,14.63,0.42,3,3,3,FALSE
F00000PXEK,BNP Paribas Asia Ex-Jpn Eq C Eur C,2,5,Asia ex-Japan Equity,0,1.78,0.92,-3.52,-7.41,0.12,13.83,7.22,7.2,3,1.98,0.44,1.5,588710903.2,2,67108.81164,3,-2.1,0.97,96.66,14.61,0.42,3,3,3,TRUE
F00000PXEM,BNP Paribas Asia Ex-Jpn Eq I Eur C,3,5,Asia ex-Japan Equity,0,1.8,1,-3.27,-6.93,0.81,14.99,8.32,8.29,0,0.96,0.44,1.5,588710903.2,2,67108.81164,3,-1.08,0.97,96.66,14.61,0.49,3,3,3,TRUE
F00000PXEO,BNP Paribas Asia Ex-Jpn Eq Privl C,3,5,Asia ex-Japan Equity,0,2.78,0.88,-5.99,-8.49,-2.3,15.12,8.91,9.46,3,1.08,0.44,1.5,588710903.2,2,67108.81164,2,-1.13,0.96,96.77,14.45,0.48,3,3,3,FALSE
0P0000YST2,BNP Paribas Asia Ex-Jpn Eq Privl C EUR,3,5,Asia ex-Japan Equity,0,1.8,0.99,-3.3,-6.99,0.73,14.86,8.2,8.13,3,1.08,0.44,1.5,588710903.2,2,67108.81164,2,-1.13,0.96,96.77,14.61,0.48,3,3,3,TRUE
F00000ZL8C,BNP Paribas China A-Shares C C,3,3,China Equity - A Shares,0,0.89,-3.75,-14.27,-13.31,-10.33,4.29,18.96,11.66,3,2.23,0.15,1.17,103505813.1,3,25882.63254,3,-0.9,0.96,83.93,17.81,0.91,3,3,3,TRUE
0P0001BRMM,BNP Paribas China A-Shares C C HKD,3,3,China Equity - A Shares,0,0.69,-3.76,-14.14,-13.17,-10.13,4.57,18.56,,3,2.23,0.15,1.17,103505813.1,3,25882.63254,3,-0.9,0.96,83.93,17.81,0.91,3,3,3,FALSE
0P0001JN03,BNP Paribas China A-Shares C C JPY,3,3,China Equity - A Shares,0,0.82,-3.12,-13.99,-10.67,-4.49,8.04,18.63,,3,2.23,0.15,1.17,103505813.1,3,25882.63254,3,-0.9,0.96,83.93,17.81,0.91,3,3,3,FALSE
F00000PXIB,BNP Paribas China Eq Cl C,4,4,China Equity,0,2.15,-2.19,-14.33,-16.42,-11.37,-2.66,17.06,15.37,3,2.23,0.18,1.17,1706687686,3,39914.16653,4,8.9,0.95,91.14,18.14,0.82,3,3,3,TRUE
0P0000YWFA,BNP Paribas China Eq Cl C NOK,4,4,China Equity,0,0.08,-3.93,-10.9,-15.01,-10.53,-4.66,18.35,16.22,3,2.23,0.18,1.17,1706687686,3,39914.16653,4,8.9,0.95,91.14,18.14,0.82,3,3,3,TRUE
0P0000YWFB,BNP Paribas China Eq Cl C SEK,4,4,China Equity,0,0.45,-2.16,-11.16,-14.72,-7.46,-4.21,14.61,15.35,3,2.23,0.18,1.17,1706687686,3,39914.16653,4,8.9,0.95,91.14,18.14,0.82,3,3,3,TRUE
