SecId,Equity_Holding,giant_percent,large_percent,mid_percent,small_percent,micro_percent
F0GBR04E5D,12.96 Bil,16.40,36.14,41.06,3.27,0.00
F0GBR04M3Y,12.96 Bil,16.40,36.14,41.06,3.27,0.00
F0GBR05A4S,,16.40,36.14,41.06,3.27,0.00
F0GBR06LYY,10.59 Bil,17.28,28.97,37.97,11.04,0.65
F0GBR06N2I,9.18 Bil,17.60,20.85,44.53,11.32,1.16
F0GBR06MOS,10.04 Bil,19.80,25.70,36.23,11.07,2.43
F0GBR06XRM,10.04 Bil,19.80,25.70,36.23,11.07,2.43
F0GBR06XRN,10.04 Bil,19.80,25.70,36.23,11.07,2.43
F0GBR04MY3,8.43 Bil,14.25,28.34,33.24,10.01,3.54
F00000PZHP,8.43 Bil,14.25,28.34,33.24,10.01,3.54
F00000YQMD,8.43 Bil,14.25,28.34,33.24,10.01,3.54
F0GBR04S4I,9.82 Bil,10.54,39.39,35.52,8.06,0.89
F0GBR06OMD,9.82 Bil,10.54,39.39,35.52,8.06,0.89
F00000PZHQ,9.82 Bil,10.54,39.39,35.52,8.06,0.89
F00000YQME,9.82 Bil,10.54,39.39,35.52,8.06,0.89
F0GBR04IBK,19.40 Bil,32.84,24.26,38.52,3.24,0.03
F00000YQNH,19.40 Bil,32.84,24.26,38.52,3.24,0.03
F0GBR04MY7,17.99 Bil,30.81,23.71,40.77,3.69,0.02
F0GBR05AAU,17.99 Bil,30.81,23.71,40.77,3.69,0.02
F00000YQNJ,17.99 Bil,30.81,23.71,40.77,3.69,0.02
F0GBR06M63,13.50 Bil,18.07,36.22,41.78,2.86,0.00
F00000TPCR,13.60 Bil,17.67,39.45,33.56,7.74,0.00
F000000GR3,13.47 Bil,19.82,29.66,43.04,6.59,0.00
F00000LWQR,13.47 Bil,19.82,29.66,43.04,6.59,0.00
F00000Q8Q2,13.47 Bil,19.82,29.66,43.04,6.59,0.00
F00000W6D8,7.49 Bil,19.76,17.45,36.90,12.06,6.09
F0GBR06M62,13.50 Bil,18.07,36.22,41.78,2.86,0.00
F0GBR04S2M,13.50 Bil,18.07,36.22,41.78,2.86,0.00
F00000YQNK,13.50 Bil,18.07,36.22,41.78,2.86,0.00
F0GBR04S2V,773.53 Mil,0.00,0.00,12.09,68.21,19.23
F0GBR051NU,773.53 Mil,0.00,0.00,12.09,68.21,19.23
F00000Y0PH,13.02 Bil,16.56,36.25,40.90,3.24,0.00
F0GBR06KYC,16.17 Bil,22.09,31.84,36.33,2.85,0.00
F0GBR059Y0,8.54 Bil,14.72,30.63,34.35,10.65,1.54
F00000MEXQ,13.16 Bil,16.70,36.91,41.09,2.95,0.00
F00000MQQW,13.05 Bil,16.58,36.51,41.01,3.26,0.00
F00000NBKE,1.65 Bil,0.00,0.00,55.93,34.26,8.25
F0GBR06XR2,10.59 Bil,17.28,28.97,37.97,11.04,0.65
F00000W6D7,7.71 Bil,19.19,19.54,36.20,12.59,5.94
F0GBR06L2G,10.76 Bil,23.95,21.65,35.86,12.38,2.22
F0GBR04E06,6.48 Bil,15.96,17.59,38.96,18.93,4.06
F000000FW2,15.01 Bil,20.40,40.30,34.55,1.70,0.00
F00000QLNR,15.01 Bil,20.40,40.30,34.55,1.70,0.00
F00000NBKA,15.01 Bil,20.40,40.30,34.55,1.70,0.00
F0GBR04RWU,17.06 Bil,20.36,41.93,30.30,2.95,0.00
F00000QLNL,17.06 Bil,20.36,41.93,30.30,2.95,0.00
F00000MEXM,17.06 Bil,20.36,41.93,30.30,2.95,0.00
F0000003ID,17.07 Bil,20.61,42.22,30.54,2.97,0.00
F00000QLNJ,17.07 Bil,20.61,42.22,30.54,2.97,0.00
F000000L24,22.32 Bil,21.32,42.02,34.55,1.86,0.00
F000000GXH,22.32 Bil,21.32,42.02,34.55,1.86,0.00
F000000GXS,22.32 Bil,21.32,42.02,34.55,1.86,0.00
F000000GXQ,22.32 Bil,21.32,42.02,34.55,1.86,0.00
F000000GXR,22.32 Bil,21.32,42.02,34.55,1.86,0.00
F0GBR06KPV,22.13 Bil,20.25,39.89,33.02,1.66,0.00
F0GBR061M6,22.13 Bil,20.25,39.89,33.02,1.66,0.00
F0GBR06KPT,22.13 Bil,20.25,39.89,33.02,1.66,0.00
F0GBR061OA,22.13 Bil,20.25,39.89,33.02,1.66,0.00
F0GBR06IIV,22.13 Bil,20.25,39.89,33.02,1.66,0.00
F0GBR061LT,22.13 Bil,20.25,39.89,33.02,1.66,0.00
F0GBR06KPU,22.13 Bil,20.25,39.89,33.02,1.66,0.00
F0GBR061O7,22.13 Bil,20.25,39.89,33.02,1.66,0.00
F0GBR06KK8,22.13 Bil,20.25,39.89,33.02,1.66,0.00
F0GBR061O9,22.13 Bil,20.25,39.89,33.02,1.66,0.00
F00000QKY3,22.13 Bil,20.25,39.89,33.02,1.66,0.00
F0GBR04AFJ,13.02 Bil,16.56,36.25,40.90,3.24,0.00
F0GBR04F0R,13.02 Bil,16.56,36.25,40.90,3.24,0.00
F0GBR04AFK,13.02 Bil,16.56,36.25,40.90,3.24,0.00
F0GBR04AFL,,16.56,36.25,40.90,3.24,0.00
F00000QNUP,13.02 Bil,16.56,36.25,40.90,3.24,0.00
F0GBR0574L,8.38 Bil,15.58,32.49,29.33,11.83,6.14
F0GBR06P16,773.53 Mil,0.00,0.00,12.09,68.21,19.23
F00000YQNL,773.53 Mil,0.00,0.00,12.09,68.21,19.23
F0GBR04S2U,35.13 Bil,43.29,34.24,19.25,0.02,0.00
F0GBR06O4X,35.13 Bil,43.29,34.24,19.25,0.02,0.00
F00000PZHR,35.13 Bil,43.29,34.24,19.25,0.02,0.00
F00000XSB7,9.22 Bil,16.86,17.52,46.98,11.62,0.73
F00000XSBG,9.22 Bil,16.86,17.52,46.98,11.62,0.73
F00000XSB3,9.22 Bil,16.86,17.52,46.98,11.62,0.73
F00000XSBB,9.22 Bil,16.86,17.52,46.98,11.62,0.73
F00000WHAF,8.43 Bil,19.17,26.40,32.70,15.28,4.89
F00000X5VF,,16.77,17.93,46.74,12.43,0.72
F000003THQ,9.03 Bil,16.77,17.93,46.74,12.43,0.72
F00000OU93,9.03 Bil,16.77,17.93,46.74,12.43,0.72
F00000XWYS,8.72 Bil,18.93,18.38,44.96,12.05,2.08
F0GBR06XGA,16.85 Bil,28.53,27.46,39.41,3.09,0.00
F0GBR06XG9,16.85 Bil,28.53,27.46,39.41,3.09,0.00
F00000MF1W,,25.84,29.49,41.49,2.35,0.00
