SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent
F0GBR04S31,19.41,2.26,1.48,16.45,0.63,15.16,-19.56,-1.06,21.45,1.14
F0GBR050CG,19.41,2.26,1.48,16.45,0.63,15.16,-19.56,-1.06,21.45,1.14
F0GBR04FKN,10.23,1.06,0.57,6.57,2.08,14.88,-10.92,-12.92,1.6,-9.05
0P0000VHN0,19.85,3.74,3.8,15,1.41,16.91,-1.29,-4.99,3.08,-0.96
0P0000VHN1,19.85,3.74,3.8,15,1.41,16.91,-1.29,-4.99,3.08,-0.96
F0000020SC,19.85,3.74,3.8,15,1.41,16.91,-1.29,-4.99,3.08,-0.96
0P0000VHN2,19.85,3.74,3.8,15,1.41,16.91,-1.29,-4.99,3.08,-0.96
0P0000X5CU,19.85,3.74,3.8,15,1.41,16.91,-1.29,-4.99,3.08,-0.96
F00000XVRP,19.85,3.74,3.8,15,1.41,16.91,-1.29,-4.99,3.08,-0.96
F0GBR04ARJ,8.46,2.11,1.78,5.92,2.48,14.54,18.48,-3.99,-4.69,-1.49
0P0000RZ3H,8.46,2.11,1.78,5.92,2.48,14.54,18.48,-3.99,-4.69,-1.49
F000000F9X,8.46,2.11,1.78,5.92,2.48,14.54,18.48,-3.99,-4.69,-1.49
0P0000VHOE,8.46,2.11,1.78,5.92,2.48,14.54,18.48,-3.99,-4.69,-1.49
F0000020MO,8.46,2.11,1.78,5.92,2.48,14.54,18.48,-3.99,-4.69,-1.49
0P0000VHOG,8.46,2.11,1.78,5.92,2.48,14.54,18.48,-3.99,-4.69,-1.49
F00001071O,16.7,2.13,1.62,11.14,2.25,15.09,-8.65,-5.15,2.33,-2.33
F00000ONYS,16.65,2.13,1.79,11.44,2.16,12.09,-5.93,-5.23,1.78,-0.45
F0GBR06IQR,16.65,2.13,1.79,11.44,2.16,12.09,-5.93,-5.23,1.78,-0.45
F00000MQUX,17.06,2.88,2.21,13.54,1.91,12.6,-6.19,-5.19,3.49,-1.64
F0GBR06IQT,17.06,2.88,2.21,13.54,1.91,12.6,-6.19,-5.19,3.49,-1.64
F0GBR04ELG,19.98,3.81,3.85,15.19,1.41,16.82,-1.42,-4.77,2.96,-0.77
F00000J007,19.98,3.81,3.85,15.19,1.41,16.82,-1.42,-4.77,2.96,-0.77
F00000T33V,19.98,3.81,3.85,15.19,1.41,16.82,-1.42,-4.77,2.96,-0.77
F000010KU7,19.98,3.81,3.85,15.19,1.41,16.82,-1.42,-4.77,2.96,-0.77
F0GBR04RTV,14.74,2,1.59,12.78,2.69,10.8,-10.56,-6,-3.49,-1.19
F00000MJPT,14.74,2,1.59,12.78,2.69,10.8,-10.56,-6,-3.49,-1.19
F00000VFX1,14.74,2,1.59,12.78,2.69,10.8,-10.56,-6,-3.49,-1.19
F00000WNYU,14.74,2,1.59,12.78,2.69,10.8,-10.56,-6,-3.49,-1.19
F0GBR04RTX,17.04,2.22,2.03,12.89,1.29,12.08,-9.18,-6.09,2.61,0.58
F00000HHAW,17.04,2.22,2.03,12.89,1.29,12.08,-9.18,-6.09,2.61,0.58
F00000VFW6,17.04,2.22,2.03,12.89,1.29,12.08,-9.18,-6.09,2.61,0.58
F0GBR04EM8,14.17,1.75,1.49,9.8,2.52,11.64,-8.05,-8.16,0.05,-2.6
F0GBR04CJ2,14.17,1.75,1.49,9.8,2.52,11.64,-8.05,-8.16,0.05,-2.6
F0GBR04DHW,18.47,2.39,1.66,11.76,1.8,13.56,-7.84,-5.83,16.15,3.43
F0GBR053M8,18.47,2.39,1.66,11.76,1.8,13.56,-7.84,-5.83,16.15,3.43
F00000Q9TV,18.47,2.39,1.66,11.76,1.8,13.56,-7.84,-5.83,16.15,3.43
F00000Q9TT,18.47,2.39,1.66,11.76,1.8,13.56,-7.84,-5.83,16.15,3.43
F00000Q9TU,18.47,2.39,1.66,11.76,1.8,13.56,-7.84,-5.83,16.15,3.43
F0GBR04SD6,15.47,1.85,1.07,8.04,2.86,11.27,-8.14,-3.91,20.7,2.12
F00000OT4O,15.47,1.85,1.07,8.04,2.86,11.27,-8.14,-3.91,20.7,2.12
F0GBR04RSL,17.39,2.34,1.64,16.45,2.36,9.47,-7.12,-1.02,-6.02,0.11
F0GBR04CIN,17.39,2.34,1.64,16.45,2.36,9.47,-7.12,-1.02,-6.02,0.11
F000003W7H,17.39,2.34,1.64,16.45,2.36,9.47,-7.12,-1.02,-6.02,0.11
F0GBR04FIF,13.11,1.7,1.31,12.17,3.53,8.76,-7.98,-4.88,-4.65,2.36
F00000OT4M,13.11,1.7,1.31,12.17,3.53,8.76,-7.98,-4.88,-4.65,2.36
F0GBR06DJP,18.9,1.74,1.17,15.73,1.65,11.9,-6.78,-0.26,-7.94,0.24
F0GBR06DJQ,18.9,1.74,1.17,15.73,1.65,11.9,-6.78,-0.26,-7.94,0.24
F00000Z4EO,18.9,1.74,1.17,15.73,1.65,11.9,-6.78,-0.26,-7.94,0.24
F00000OLVY,18.9,1.74,1.17,15.73,1.65,11.9,-6.78,-0.26,-7.94,0.24
F0GBR04CJR,18.06,2.04,1.35,7.51,1.16,13.04,-20.73,-5.24,21.19,0.39
F0GBR04CJT,18.06,2.04,1.35,7.51,1.16,13.04,-20.73,-5.24,21.19,0.39
F0GBR04CJV,18.06,2.04,1.35,7.51,1.16,13.04,-20.73,-5.24,21.19,0.39
F000003YAQ,15.02,2.27,1.88,12.82,1.73,12.13,-3.98,-4.46,5.3,0.35
F000002KPD,15.39,2.92,1.9,12.38,3.41,7.49,-6.9,-9.38,6.33,2.39
F00000P77M,15.39,2.92,1.9,12.38,3.41,7.49,-6.9,-9.38,6.33,2.39
