SecId,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F00000HHAW,26.07,10.79,36.48,81.38,59.68,83.89,28.03,6.14,72.43,18.78,11.18,35.03,14.49,6.03,52.66,40.35,31.96,91.3,18.35,17.43,28.49
F00000VFW6,26.07,10.79,36.48,81.38,59.68,83.89,28.03,6.14,72.43,18.78,11.18,35.03,14.49,6.03,52.66,40.35,31.96,91.3,18.35,17.43,28.49
F0GBR04EM8,69.86,62.51,81.47,27.38,11.08,37.87,74.51,24.17,84.18,84.52,51.54,85.82,29.34,14.59,73.21,35.82,27.66,89.66,47.51,44.42,63.18
F0GBR04CJ2,69.86,62.51,81.47,27.38,11.08,37.87,74.51,24.17,84.18,84.52,51.54,85.82,29.34,14.59,73.21,35.82,27.66,89.66,47.51,44.42,63.18
F0GBR04DHW,30.05,25.49,45.45,73.4,48.69,75.13,64.35,14.42,92.08,62.41,37.48,81.47,32.02,9.19,67.54,56.46,28.64,90.08,22.36,21.83,32.72
F0GBR053M8,30.05,25.49,45.45,73.4,48.69,75.13,64.35,14.42,92.08,62.41,37.48,81.47,32.02,9.19,67.54,56.46,28.64,90.08,22.36,21.83,32.72
F00000Q9TV,30.05,25.49,45.45,73.4,48.69,75.13,64.35,14.42,92.08,62.41,37.48,81.47,32.02,9.19,67.54,56.46,28.64,90.08,22.36,21.83,32.72
F00000Q9TT,30.05,25.49,45.45,73.4,48.69,75.13,64.35,14.42,92.08,62.41,37.48,81.47,32.02,9.19,67.54,56.46,28.64,90.08,22.36,21.83,32.72
F00000Q9TU,30.05,25.49,45.45,73.4,48.69,75.13,64.35,14.42,92.08,62.41,37.48,81.47,32.02,9.19,67.54,56.46,28.64,90.08,22.36,21.83,32.72
F0GBR04SD6,64.83,59.81,79.6,23.5,11.36,29.28,80.81,16.72,93.5,83.31,52.09,88.57,37.84,12.53,81.59,44.12,34.99,90.69,23.63,23.22,32.47
F00000OT4O,64.83,59.81,79.6,23.5,11.36,29.28,80.81,16.72,93.5,83.31,52.09,88.57,37.84,12.53,81.59,44.12,34.99,90.69,23.63,23.22,32.47
F0GBR04RSL,64.48,42.77,85.37,40.24,5.93,54.96,88.1,24.72,99.14,85.53,46.01,93.24,46.88,9.88,82.24,38.21,23.02,91.93,30.75,22.34,70.31
F0GBR04CIN,64.48,42.77,85.37,40.24,5.93,54.96,88.1,24.72,99.14,85.53,46.01,93.24,46.88,9.88,82.24,38.21,23.02,91.93,30.75,22.34,70.31
F000003W7H,64.48,42.77,85.37,40.24,5.93,54.96,88.1,24.72,99.14,85.53,46.01,93.24,46.88,9.88,82.24,38.21,23.02,91.93,30.75,22.34,70.31
F0GBR04FIF,82.61,67.26,88.04,8.38,6.47,22.86,85.7,20.13,94.46,77.79,73.43,92.7,34.6,9.32,88.85,29.14,17.98,88.46,39.67,31.79,55.39
F00000OT4M,82.61,67.26,88.04,8.38,6.47,22.86,85.7,20.13,94.46,77.79,73.43,92.7,34.6,9.32,88.85,29.14,17.98,88.46,39.67,31.79,55.39
