SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent,Equity_Holding_Amount,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F00000XMNZ,13.7,1.72,1.54,9.48,2.75,11.5,-6.86,-8.49,-1.84,-2.35,99,19,,7.23,16.42,50.61,70.26,35.11 Bil,41.33,35.03,16.59,0.02,0,72.82,65.72,82.55,20.04,6.39,26.11,80.23,20.19,84.03,88.26,68.96,89.23,36.67,18.37,90.07,40.72,25.8,91.98,68.55,62.93,87.06
F00000WRZN,19.65,2.26,1.77,12.72,1.13,13.7,-14.03,-4.24,10.64,2.67,76,1,,14.63,84.51,61.29,82.16,2.90 Bil,0,14.6,51.62,28.17,5.56,21.19,10.35,30.88,82.54,63.74,88.06,47.18,6.36,97.78,13.86,8.62,22.2,17.27,2.54,26.84,39.73,16.06,86.04,13.23,11.64,15.77
F0GBR04RW7,19.65,2.26,1.77,12.72,1.13,13.7,-14.03,-4.24,10.64,2.67,76,1,,14.63,84.51,61.29,82.16,2.90 Bil,0,14.6,51.62,28.17,5.56,21.19,10.35,30.88,82.54,63.74,88.06,47.18,6.36,97.78,13.86,8.62,22.2,17.27,2.54,26.84,39.73,16.06,86.04,13.23,11.64,15.77
F00000OPTX,19.65,2.26,1.77,12.72,1.13,13.7,-14.03,-4.24,10.64,2.67,76,1,,14.63,84.51,61.29,82.16,2.90 Bil,0,14.6,51.62,28.17,5.56,21.19,10.35,30.88,82.54,63.74,88.06,47.18,6.36,97.78,13.86,8.62,22.2,17.27,2.54,26.84,39.73,16.06,86.04,13.23,11.64,15.77
F0GBR04RW5,19.65,2.26,1.77,12.72,1.13,13.7,-14.03,-4.24,10.64,2.67,76,1,,14.63,84.51,61.29,82.16,2.90 Bil,0,14.6,51.62,28.17,5.56,21.19,10.35,30.88,82.54,63.74,88.06,47.18,6.36,97.78,13.86,8.62,22.2,17.27,2.54,26.84,39.73,16.06,86.04,13.23,11.64,15.77
F0GBR04RVX,14.48,1.77,1.77,8.4,2.27,14.63,-11.95,-7.9,2.59,-3.07,55,1,,31.36,58.74,52.26,73.5,14.76 Bil,33.23,21.8,30.34,13.41,0,61.62,57.96,88.1,33.93,18.69,49.27,72.27,18.96,95.98,67.3,31.68,86.2,22.45,5.85,57.07,40.87,21.14,84.43,41.01,35.59,52.91
F00000OPTM,14.48,1.77,1.77,8.4,2.27,14.63,-11.95,-7.9,2.59,-3.07,55,1,,31.36,58.74,52.26,73.5,14.76 Bil,33.23,21.8,30.34,13.41,0,61.62,57.96,88.1,33.93,18.69,49.27,72.27,18.96,95.98,67.3,31.68,86.2,22.45,5.85,57.07,40.87,21.14,84.43,41.01,35.59,52.91
F0GBR04RV1,14.48,1.77,1.77,8.4,2.27,14.63,-11.95,-7.9,2.59,-3.07,55,1,,31.36,58.74,52.26,73.5,14.76 Bil,33.23,21.8,30.34,13.41,0,61.62,57.96,88.1,33.93,18.69,49.27,72.27,18.96,95.98,67.3,31.68,86.2,22.45,5.85,57.07,40.87,21.14,84.43,41.01,35.59,52.91
F0GBR04RYY,14.75,1.91,1.87,8.31,2.13,12.75,-12.72,-8.44,2.91,-2.53,52,2,,281.81,60.18,49.07,72.93,13.45 Bil,30.78,22.3,28.28,16.88,0,67.65,37.39,92.12,51.7,13.52,69.33,38.08,32.93,100,82.85,22.9,86.7,16.49,2.71,31.4,29.8,15.91,74.82,32.8,20.93,36.14
F00000OPTN,14.75,1.91,1.87,8.31,2.13,12.75,-12.72,-8.44,2.91,-2.53,52,2,,281.81,60.18,49.07,72.93,13.45 Bil,30.78,22.3,28.28,16.88,0,67.65,37.39,92.12,51.7,13.52,69.33,38.08,32.93,100,82.85,22.9,86.7,16.49,2.71,31.4,29.8,15.91,74.82,32.8,20.93,36.14
F0GBR04RYX,14.75,1.91,1.87,8.31,2.13,12.75,-12.72,-8.44,2.91,-2.53,52,2,,281.81,60.18,49.07,72.93,13.45 Bil,30.78,22.3,28.28,16.88,0,67.65,37.39,92.12,51.7,13.52,69.33,38.08,32.93,100,82.85,22.9,86.7,16.49,2.71,31.4,29.8,15.91,74.82,32.8,20.93,36.14
F0GBR04RW2,12.71,1.53,1.27,7.19,3.14,12.09,-16.67,-6.45,3.62,-2.25,61,2,,24.36,58.11,49.92,71.96,13.57 Bil,31.53,24.11,26.1,13.52,4.08,77.45,74.39,94.31,14.86,6.69,31.79,69.27,19.44,94.63,75.49,40.04,87.45,23,6.87,80.17,34.13,19.93,82.88,36.61,30.97,54.22
F00000Q8RZ,12.71,1.53,1.27,7.19,3.14,12.09,-16.67,-6.45,3.62,-2.25,61,2,,24.36,58.11,49.92,71.96,13.57 Bil,31.53,24.11,26.1,13.52,4.08,77.45,74.39,94.31,14.86,6.69,31.79,69.27,19.44,94.63,75.49,40.04,87.45,23,6.87,80.17,34.13,19.93,82.88,36.61,30.97,54.22
F00000OPTU,12.71,1.53,1.27,7.19,3.14,12.09,-16.67,-6.45,3.62,-2.25,61,2,,24.36,58.11,49.92,71.96,13.57 Bil,31.53,24.11,26.1,13.52,4.08,77.45,74.39,94.31,14.86,6.69,31.79,69.27,19.44,94.63,75.49,40.04,87.45,23,6.87,80.17,34.13,19.93,82.88,36.61,30.97,54.22
F0GBR04RVY,12.71,1.53,1.27,7.19,3.14,12.09,-16.67,-6.45,3.62,-2.25,61,2,,24.36,58.11,49.92,71.96,13.57 Bil,31.53,24.11,26.1,13.52,4.08,77.45,74.39,94.31,14.86,6.69,31.79,69.27,19.44,94.63,75.49,40.04,87.45,23,6.87,80.17,34.13,19.93,82.88,36.61,30.97,54.22
F00000YV7N,18.69,1.88,1.31,10.63,1.66,11.14,-9.88,-7.94,18.78,4.02,55,1,34,,91.77,58.23,79.95,2.15 Bil,0,4.11,54.87,30.96,6.13,36.17,12.65,36.17,87.14,61.59,87.89,76.41,5.34,88.62,16.7,8.23,23.6,9.23,2.22,14.28,35.98,14.1,74.9,11.22,8.04,12.52
F00000YV7P,18.69,1.88,1.31,10.63,1.66,11.14,-9.88,-7.94,18.78,4.02,55,1,34,,91.77,58.23,79.95,2.15 Bil,0,4.11,54.87,30.96,6.13,36.17,12.65,36.17,87.14,61.59,87.89,76.41,5.34,88.62,16.7,8.23,23.6,9.23,2.22,14.28,35.98,14.1,74.9,11.22,8.04,12.52
F00000YV7Q,18.69,1.88,1.31,10.63,1.66,11.14,-9.88,-7.94,18.78,4.02,55,1,34,,91.77,58.23,79.95,2.15 Bil,0,4.11,54.87,30.96,6.13,36.17,12.65,36.17,87.14,61.59,87.89,76.41,5.34,88.62,16.7,8.23,23.6,9.23,2.22,14.28,35.98,14.1,74.9,11.22,8.04,12.52
F00000YV7M,18.69,1.88,1.31,10.63,1.66,11.14,-9.88,-7.94,18.78,4.02,55,1,34,,91.77,58.23,79.95,2.15 Bil,0,4.11,54.87,30.96,6.13,36.17,12.65,36.17,87.14,61.59,87.89,76.41,5.34,88.62,16.7,8.23,23.6,9.23,2.22,14.28,35.98,14.1,74.9,11.22,8.04,12.52
F0GBR04EAM,16.86,2.29,2.32,14.91,2.65,7.82,-4.2,-7.84,-3.87,-1.02,71,9,36,38,67.57,45.56,66.97,12.74 Bil,29.41,19.99,37.29,11.59,0,60.56,31.69,77.4,18.01,11.71,39.2,80.46,18.49,93.94,60.81,33.36,91.24,67.3,18.84,75.94,58.2,39.01,91.36,32.85,32.85,58.28
F0GBR06IAU,16.86,2.29,2.32,14.91,2.65,7.82,-4.2,-7.84,-3.87,-1.02,71,9,36,38,67.57,45.56,66.97,12.74 Bil,29.41,19.99,37.29,11.59,0,60.56,31.69,77.4,18.01,11.71,39.2,80.46,18.49,93.94,60.81,33.36,91.24,67.3,18.84,75.94,58.2,39.01,91.36,32.85,32.85,58.28
F000000FRV,12.25,1.47,1.02,6.19,2.99,7.98,-17.71,-9.6,4.7,-1.08,60,31,39,177.16,78.47,68.59,88.84,2.93 Bil,11.23,15.48,26.44,34.03,12.04,80.58,48.59,92.64,25.35,6.73,57.52,32.54,10.27,97.96,29.65,25.31,77.64,18.31,3.6,74.67,49.17,20.68,92.69,13.15,13.15,21.08
F00000OPVC,12.25,1.47,1.02,6.19,2.99,7.98,-17.71,-9.6,4.7,-1.08,60,31,39,177.16,78.47,68.59,88.84,2.93 Bil,11.23,15.48,26.44,34.03,12.04,80.58,48.59,92.64,25.35,6.73,57.52,32.54,10.27,97.96,29.65,25.31,77.64,18.31,3.6,74.67,49.17,20.68,92.69,13.15,13.15,21.08
F000000FRT,12.25,1.47,1.02,6.19,2.99,7.98,-17.71,-9.6,4.7,-1.08,60,31,39,177.16,78.47,68.59,88.84,2.93 Bil,11.23,15.48,26.44,34.03,12.04,80.58,48.59,92.64,25.35,6.73,57.52,32.54,10.27,97.96,29.65,25.31,77.64,18.31,3.6,74.67,49.17,20.68,92.69,13.15,13.15,21.08
F0GBR04RUO,24.72,4.21,2.35,18.2,0.9,13.13,-1.8,5.13,22.74,11.02,56,4,30,24.82,,52.93,77.93,1.90 Bil,0,2.93,50.22,42.11,0,4.6,1,55.98,94.71,70.05,97.13,21.22,2.47,93.83,3.87,2.26,18.28,13.84,3.2,28.61,46.13,21.64,95.82,10.24,8.77,12.74
F00000P8DU,24.72,4.21,2.35,18.2,0.9,13.13,-1.8,5.13,22.74,11.02,56,4,30,24.82,,52.93,77.93,1.90 Bil,0,2.93,50.22,42.11,0,4.6,1,55.98,94.71,70.05,97.13,21.22,2.47,93.83,3.87,2.26,18.28,13.84,3.2,28.61,46.13,21.64,95.82,10.24,8.77,12.74
F00000Y4IZ,24.72,4.21,2.35,18.2,0.9,13.13,-1.8,5.13,22.74,11.02,56,4,30,24.82,,52.93,77.93,1.90 Bil,0,2.93,50.22,42.11,0,4.6,1,55.98,94.71,70.05,97.13,21.22,2.47,93.83,3.87,2.26,18.28,13.84,3.2,28.61,46.13,21.64,95.82,10.24,8.77,12.74
F000000213,24.72,4.21,2.35,18.2,0.9,13.13,-1.8,5.13,22.74,11.02,56,4,30,24.82,,52.93,77.93,1.90 Bil,0,2.93,50.22,42.11,0,4.6,1,55.98,94.71,70.05,97.13,21.22,2.47,93.83,3.87,2.26,18.28,13.84,3.2,28.61,46.13,21.64,95.82,10.24,8.77,12.74
F0GBR0549B,25.55,4.35,2.35,18.19,0.87,14.71,1.4,7.82,25.99,12.07,54,3,,224.87,,52.3,80.07,1.79 Bil,0,3.28,49.68,44.04,0.93,3.74,1,15.64,95.29,94.39,99.12,45.06,2.14,82.8,5.11,2.76,13.37,13.83,1,25.46,53.12,24.75,97.18,9.98,5.34,10.1
F00000OPUU,25.55,4.35,2.35,18.19,0.87,14.71,1.4,7.82,25.99,12.07,54,3,,224.87,,52.3,80.07,1.79 Bil,0,3.28,49.68,44.04,0.93,3.74,1,15.64,95.29,94.39,99.12,45.06,2.14,82.8,5.11,2.76,13.37,13.83,1,25.46,53.12,24.75,97.18,9.98,5.34,10.1
F0GBR04O7W,25.55,4.35,2.35,18.19,0.87,14.71,1.4,7.82,25.99,12.07,54,3,,224.87,,52.3,80.07,1.79 Bil,0,3.28,49.68,44.04,0.93,3.74,1,15.64,95.29,94.39,99.12,45.06,2.14,82.8,5.11,2.76,13.37,13.83,1,25.46,53.12,24.75,97.18,9.98,5.34,10.1
F0GBR06XPG,20.11,2.46,2.14,12.26,1.34,12.14,-14.38,-6.86,12.04,4.33,49,3,29,25.44,84.9,62.7,81,5.05 Bil,0,23.72,57.5,16.53,0,24.8,9.01,74.74,79.43,21.29,82.55,49.98,8.63,92.9,28.17,13.33,77.67,28,7.91,37.62,51.05,17.5,89,19.32,19.04,38.51
F00000P8DS,20.11,2.46,2.14,12.26,1.34,12.14,-14.38,-6.86,12.04,4.33,49,3,29,25.44,84.9,62.7,81,5.05 Bil,0,23.72,57.5,16.53,0,24.8,9.01,74.74,79.43,21.29,82.55,49.98,8.63,92.9,28.17,13.33,77.67,28,7.91,37.62,51.05,17.5,89,19.32,19.04,38.51
F0GBR04RVV,28.17,4.65,2.22,17.07,0.92,12.27,17.74,5.46,30.38,12.08,65,30,33,20.09,,50.94,80.82,1.17 Bil,0,0,35.55,57.43,4.33,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F00000WRZP,28.17,4.65,2.22,17.07,0.92,12.27,17.74,5.46,30.38,12.08,65,30,33,20.09,,50.94,80.82,1.17 Bil,0,0,35.55,57.43,4.33,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F00000Q8RS,28.17,4.65,2.22,17.07,0.92,12.27,17.74,5.46,30.38,12.08,65,30,33,20.09,,50.94,80.82,,0,0,35.55,57.43,4.33,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F00000OPTZ,28.17,4.65,2.22,17.07,0.92,12.27,17.74,5.46,30.38,12.08,65,30,33,20.09,,50.94,80.82,1.17 Bil,0,0,35.55,57.43,4.33,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F0GBR04RV5,28.17,4.65,2.22,17.07,0.92,12.27,17.74,5.46,30.38,12.08,65,30,33,20.09,,50.94,80.82,1.17 Bil,0,0,35.55,57.43,4.33,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F00000WRZM,15.51,1.33,1.06,13,0.73,7.28,-12.82,-8.86,-0.89,-5.33,43,27,40,318.23,89.65,62.32,80.88,2.28 Bil,0,20.29,23.65,48.52,6.25,61.78,46.63,90.61,95.67,13.97,98.19,9.87,6.41,99.9,76.13,14.66,88.54,3.34,1,23.67,26.61,6.48,82.6,11.3,9.22,15.93
F0GBR06XQ6,15.51,1.33,1.06,13,0.73,7.28,-12.82,-8.86,-0.89,-5.33,43,27,40,318.23,89.65,62.32,80.88,2.28 Bil,0,20.29,23.65,48.52,6.25,61.78,46.63,90.61,95.67,13.97,98.19,9.87,6.41,99.9,76.13,14.66,88.54,3.34,1,23.67,26.61,6.48,82.6,11.3,9.22,15.93
F00000Q8S3,15.51,1.33,1.06,13,0.73,7.28,-12.82,-8.86,-0.89,-5.33,43,27,40,318.23,89.65,62.32,80.88,2.28 Bil,0,20.29,23.65,48.52,6.25,61.78,46.63,90.61,95.67,13.97,98.19,9.87,6.41,99.9,76.13,14.66,88.54,3.34,1,23.67,26.61,6.48,82.6,11.3,9.22,15.93
F00000OPVE,15.51,1.33,1.06,13,0.73,7.28,-12.82,-8.86,-0.89,-5.33,43,27,40,318.23,89.65,62.32,80.88,2.28 Bil,0,20.29,23.65,48.52,6.25,61.78,46.63,90.61,95.67,13.97,98.19,9.87,6.41,99.9,76.13,14.66,88.54,3.34,1,23.67,26.61,6.48,82.6,11.3,9.22,15.93
F0GBR06MNV,15.51,1.33,1.06,13,0.73,7.28,-12.82,-8.86,-0.89,-5.33,43,27,40,318.23,89.65,62.32,80.88,2.28 Bil,0,20.29,23.65,48.52,6.25,61.78,46.63,90.61,95.67,13.97,98.19,9.87,6.41,99.9,76.13,14.66,88.54,3.34,1,23.67,26.61,6.48,82.6,11.3,9.22,15.93
F0GBR06IAX,14.03,1.79,1.58,10.27,2.41,13.35,-9.05,-8.21,-0.12,-2.72,401,213,31,-3.37,,46.4,68.19,22.11 Bil,36.02,28.52,25.7,5.12,0.67,65.57,60.7,81.63,32.43,12.79,36.71,73.9,23.84,84.23,76.07,41.17,85.86,28.03,13.84,77.92,41.99,27.58,89.69,49.73,44.07,65.71
F0GBR06IAY,14.03,1.79,1.58,10.27,2.41,13.35,-9.05,-8.21,-0.12,-2.72,401,213,31,-3.37,,46.4,68.19,22.11 Bil,36.02,28.52,25.7,5.12,0.67,65.57,60.7,81.63,32.43,12.79,36.71,73.9,23.84,84.23,76.07,41.17,85.86,28.03,13.84,77.92,41.99,27.58,89.69,49.73,44.07,65.71
F0GBR04RM3,15.28,2.02,1.3,13.06,1.7,11.51,-9.36,-3.77,-0.44,0.48,70,36,33,113.14,64.33,44.57,65.91,8.57 Bil,19.37,23.73,34.15,19.54,1.6,42.44,28.48,78.59,65.5,36.61,75.29,31.17,6.44,71.01,62.74,31.35,73.89,23.39,8.14,57.93,42.8,31.26,90.04,25.57,25.17,48.96
F0GBR053P3,15.28,2.02,1.3,13.06,1.7,11.51,-9.36,-3.77,-0.44,0.48,70,36,33,113.14,64.33,44.57,65.91,8.57 Bil,19.37,23.73,34.15,19.54,1.6,42.44,28.48,78.59,65.5,36.61,75.29,31.17,6.44,71.01,62.74,31.35,73.89,23.39,8.14,57.93,42.8,31.26,90.04,25.57,25.17,48.96
F000003YGM,12.59,1.64,1.14,10.65,3.04,9.02,-5.48,-6.39,-9.03,-0.67,48,31,34,38.85,58.58,52.43,73,14.97 Bil,27.16,25.19,36.78,7.29,0.44,85.5,69.08,86.79,14.41,7.92,22.63,78.66,18.13,91.13,77.71,48.58,86.35,45.2,21.07,95.62,35.99,20.39,88.98,36.68,33.71,50.8
F0000005ZF,20.54,2.89,2.15,17.65,1.12,10.18,-3.3,-6.19,16.39,-0.04,46,31,31,127.49,85.75,46.54,72.37,3.86 Bil,6.7,12.49,53.09,25.14,2.11,17.17,8.65,69.61,86.85,73.53,94.49,17.26,4.68,89.45,24.88,10.02,81.89,14.22,5.49,44.49,40.89,23.28,90.53,15.66,14.33,42.68
F0000005Z9,20.54,2.89,2.15,17.65,1.12,10.18,-3.3,-6.19,16.39,-0.04,46,31,31,127.49,85.75,46.54,72.37,3.86 Bil,6.7,12.49,53.09,25.14,2.11,17.17,8.65,69.61,86.85,73.53,94.49,17.26,4.68,89.45,24.88,10.02,81.89,14.22,5.49,44.49,40.89,23.28,90.53,15.66,14.33,42.68
F0GBR04NOX,10.79,1.1,0.67,7.58,2.02,20.29,-11.8,-11.08,1.98,-8.21,48,3,44,101.43,69.35,58.15,81.56,9.50 Bil,20.06,37.79,13.07,20.04,7.2,86.18,26.88,97.74,45.4,4.69,75.82,44.55,16.39,99.42,84.66,42.32,93.01,9.64,2.63,79.97,28.49,15.7,90.12,29.22,15.82,43.7
F0GBR04Z15,10.79,1.1,0.67,7.58,2.02,20.29,-11.8,-11.08,1.98,-8.21,48,3,44,101.43,69.35,58.15,81.56,9.50 Bil,20.06,37.79,13.07,20.04,7.2,86.18,26.88,97.74,45.4,4.69,75.82,44.55,16.39,99.42,84.66,42.32,93.01,9.64,2.63,79.97,28.49,15.7,90.12,29.22,15.82,43.7
F0GBR06HTG,10.79,1.1,0.67,7.58,2.02,20.29,-11.8,-11.08,1.98,-8.21,48,3,44,101.43,69.35,58.15,81.56,9.50 Bil,20.06,37.79,13.07,20.04,7.2,86.18,26.88,97.74,45.4,4.69,75.82,44.55,16.39,99.42,84.66,42.32,93.01,9.64,2.63,79.97,28.49,15.7,90.12,29.22,15.82,43.7
F00000PI8Z,15.1,2.12,1.19,11.12,2.72,9.16,-5.88,-4.8,3.93,-0.4,48,8,34,9.03,73,66.52,86.44,7.76 Bil,10.21,22.44,42.12,17.27,1.48,66.94,51.81,82.78,27.65,8.78,30.94,59.49,21.45,87.38,70.51,70.49,90.77,31.45,13.27,92.23,62.3,21.84,91.72,26.39,25.28,44.46
F00000P9SW,15.1,2.12,1.19,11.12,2.72,9.16,-5.88,-4.8,3.93,-0.4,48,8,34,9.03,73,66.52,86.44,7.76 Bil,10.21,22.44,42.12,17.27,1.48,66.94,51.81,82.78,27.65,8.78,30.94,59.49,21.45,87.38,70.51,70.49,90.77,31.45,13.27,92.23,62.3,21.84,91.72,26.39,25.28,44.46
F0GBR06U39,26.13,3.24,2.54,21.26,0.72,13.67,6.41,-2.94,0.59,6.64,82,34,28,118.2,,50.34,78.85,1.07 Bil,0,0,32.97,55.95,10.77,6,2.6,16.09,95.48,84.31,96.2,19.91,2.54,95.78,5.51,3.14,14.36,8.19,2.61,21.1,75,53.57,96.93,5.38,4.41,8.15
F00000271D,26.13,3.24,2.54,21.26,0.72,13.67,6.41,-2.94,0.59,6.64,82,34,28,118.2,,50.34,78.85,1.07 Bil,0,0,32.97,55.95,10.77,6,2.6,16.09,95.48,84.31,96.2,19.91,2.54,95.78,5.51,3.14,14.36,8.19,2.61,21.1,75,53.57,96.93,5.38,4.41,8.15
F00000MBOY,10.81,1.66,1.43,6.42,2.32,11.8,14.14,-4.45,-4.46,1.63,41,50,42,-43.23,75.11,100,100,19.85 Bil,22.4,43.16,29.34,3.85,0,73.39,44.42,95.6,36.51,6.05,91.49,5.23,2.04,100,7.06,6.84,91.81,10.61,1,28.81,10.17,4.78,36.27,40.29,30.9,48.35
F00000MJU1,21.11,3.16,1.69,13.7,1.2,10.69,-0.94,-4.64,12.18,-1.4,53,1,,,90.31,59.58,84.33,8.12 Bil,16.83,29.25,91.77,4.82,0,23.36,5.8,67.43,87.52,26.04,93.14,36.1,2.55,94.71,15.1,5.36,97.09,40.16,7.34,93.16,35.7,8.85,85.57,24.73,17.51,42.93
F00000MJTZ,21.11,3.16,1.69,13.7,1.2,10.69,-0.94,-4.64,12.18,-1.4,53,1,,,90.31,59.58,84.33,8.12 Bil,16.83,29.25,91.77,4.82,0,23.36,5.8,67.43,87.52,26.04,93.14,36.1,2.55,94.71,15.1,5.36,97.09,40.16,7.34,93.16,35.7,8.85,85.57,24.73,17.51,42.93
F000014XX1,13.02,1.56,1.01,9.45,3.17,7.33,-3.88,-3.52,-4.67,0.63,45,12,,59,72.4,59.12,75.67,12.70 Bil,13.32,39.2,32.12,6.88,0.36,80.93,64.32,88.34,15.17,11.61,22.57,65.27,18.84,90.3,79.57,74.87,89.38,28.79,17.9,77.65,21.43,21.43,83.86,34.16,33.79,49.8
F000003U77,13.02,1.56,1.01,9.45,3.17,7.33,-3.88,-3.52,-4.67,0.63,45,12,,59,72.4,59.12,75.67,12.70 Bil,13.32,39.2,32.12,6.88,0.36,80.93,64.32,88.34,15.17,11.61,22.57,65.27,18.84,90.3,79.57,74.87,89.38,28.79,17.9,77.65,21.43,21.43,83.86,34.16,33.79,49.8
F0GBR04FG6,13.02,1.56,1.01,9.45,3.17,7.33,-3.88,-3.52,-4.67,0.63,45,12,,59,72.4,59.12,75.67,12.70 Bil,13.32,39.2,32.12,6.88,0.36,80.93,64.32,88.34,15.17,11.61,22.57,65.27,18.84,90.3,79.57,74.87,89.38,28.79,17.9,77.65,21.43,21.43,83.86,34.16,33.79,49.8
