SecId,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent
F000000L24,350,401,\u2014,-6.50,,52.79,75.6
F000000GXH,350,401,\u2014,-6.50,,52.79,75.6
F000000GXS,350,401,\u2014,-6.50,,52.79,75.6
F000000GXQ,350,401,\u2014,-6.50,,52.79,75.6
F000000GXR,350,401,\u2014,-6.50,,52.79,75.6
F0GBR06KPV,58,177,\u2014,-87.59,,53.18,76.03
F0GBR061M6,58,177,\u2014,-87.59,,53.18,76.03
F0GBR06KPT,58,177,\u2014,-87.59,,53.18,76.03
F0GBR061OA,58,177,\u2014,-87.59,,53.18,76.03
F0GBR06IIV,58,177,\u2014,-87.59,,53.18,76.03
F0GBR061LT,58,177,\u2014,-87.59,,53.18,76.03
F0GBR06KPU,58,177,\u2014,-87.59,,53.18,76.03
F0GBR061O7,58,177,\u2014,-87.59,,53.18,76.03
F0GBR06KK8,58,177,\u2014,-87.59,,53.18,76.03
F0GBR061O9,58,177,\u2014,-87.59,,53.18,76.03
F00000QKY3,58,177,\u2014,-87.59,,53.18,76.03
F0GBR04AFJ,35,101,\u2014,-34.58,76.12,51.87,75.12
F0GBR04F0R,35,101,\u2014,-34.58,76.12,51.87,75.12
F0GBR04AFK,35,101,\u2014,-34.58,76.12,51.87,75.12
F0GBR04AFL,35,101,\u2014,-34.58,76.12,51.87,75.12
F00000QNUP,35,101,\u2014,-34.58,76.12,51.87,75.12
F0GBR0574L,0,8,98,104.49,,49.5,70.75
F0GBR06P16,73,5,22,49.29,,58.84,77.81
F00000YQNL,73,5,22,49.29,,58.84,77.81
F0GBR04S2U,100,11,38,0.49,,50.9,70.33
F0GBR06O4X,100,11,38,0.49,,50.9,70.33
F00000PZHR,100,11,38,0.49,,50.9,70.33
F00000XSB7,42,6,46,\u2014,76.00,60.13,81.31
F00000XSBG,42,6,46,\u2014,76.00,60.13,81.31
F00000XSB3,42,6,46,\u2014,76.00,60.13,81.31
F00000XSBB,42,6,46,\u2014,76.00,60.13,81.31
F00000WHAF,54,5,38,\u2014,71.62,,
F00000X5VF,42,8,47,154.00,75.92,59.36,79.99
F000003THQ,42,8,47,154.00,75.92,59.36,79.99
F00000OU93,42,8,47,154.00,75.92,59.36,79.99
F00000XWYS,44,5,37,89.00,72.38,57.88,81.55
F0GBR06XGA,40,6,42,91.00,67.14,54.51,78.09
F0GBR06XG9,40,6,42,91.00,67.14,54.51,78.09
F00000MF1W,53,7,37,163.00,59.78,51.31,77.3
F00000UF1Z,53,7,37,163.00,59.78,51.31,77.3
0P000148YE,53,7,37,163.00,59.78,51.31,77.3
F00000OU96,53,7,37,163.00,59.78,51.31,77.3
F00000Z1T9,39,6,45,93.00,77.05,61.26,82.58
F0GBR059RK,133,5,30,1.00,53.49,51.77,72.51
F0GBR04GPJ,133,5,30,1.00,53.49,51.77,72.51
F0GBR06P0W,58,4,28,53.00,,59.47,80.13
F0GBR04HKP,58,4,28,53.00,,59.47,80.13
F00000OU9I,58,4,28,53.00,,59.47,80.13
F000014MAT,33,6,45,231.00,62.81,53.47,76.37
F00000MDB1,26,5,50,8.52,76.07,58.49,76.88
F00000MDAZ,26,5,50,8.52,76.07,58.49,76.88
F00000TQLQ,0,25,\u2014,\u2014,,44.08,65.28
F00000TQLS,0,25,\u2014,\u2014,,44.08,65.28
F00000TQMF,33,2,\u2014,\u2014,68.69,67.05,79.83
F00000TQMJ,33,2,\u2014,\u2014,68.69,67.05,79.83
F00000WQ4L,44,7,38,\u2014,,55.1,80.16
F00000WQ4H,44,7,38,\u2014,,55.1,80.16
F00000SJ7Y,36,4,46,\u2014,,58.2,80.56
F00000ZTV3,36,4,46,15.65,,58.2,80.56
F0GBR06OGV,36,4,46,15.65,,58.2,80.56
F0GBR06OGU,36,4,46,15.65,,58.2,80.56
F0GBR06OGX,36,4,46,15.65,,58.2,80.56
F00000OIGU,41,8,48,461.78,58.47,55.59,76.86
F000014PU7,33,3,\u2014,\u2014,98.68,67.96,81.77
F00000WK2T,33,3,\u2014,\u2014,98.68,67.96,81.77
F00000Q6JT,36,3,42,41.80,98.58,69.03,81.61
