SecId,company_1,percent_1,company_2,percent_2,company_3,percent_3,company_4,percent_4,company_5,percent_5,company_6,percent_6,company_7,percent_7,company_8,percent_8,company_9,percent_9,company_10,percent_10
F00000OJM7,Weir Group PLC,1.28,Direct Line Insurance Group PLC,1.09,Electrocomponents PLC,1.08,Royal Mail PLC,1.03,ITV PLC,1.02,Howden Joinery Group PLC,0.99,G4S PLC,0.93,Travis Perkins PLC,0.9,,,,
F00000P25K,Weir Group PLC,1.28,Direct Line Insurance Group PLC,1.09,Electrocomponents PLC,1.08,Royal Mail PLC,1.03,ITV PLC,1.02,Howden Joinery Group PLC,0.99,G4S PLC,0.93,Travis Perkins PLC,0.9,,,,
F00000OJM8,Weir Group PLC,1.28,Direct Line Insurance Group PLC,1.09,Electrocomponents PLC,1.08,Royal Mail PLC,1.03,ITV PLC,1.02,Howden Joinery Group PLC,0.99,G4S PLC,0.93,Travis Perkins PLC,0.9,,,,
F00000JWFU,Unilever PLC,4.28,AstraZeneca PLC,4.12,HSBC Holdings PLC,3.92,Rio Tinto PLC,3.03,Diageo PLC,2.92,Royal Dutch Shell PLC Class A,2.68,GlaxoSmithKline PLC,2.65,BP PLC,2.61,British American Tobacco PLC,2.57,Royal Dutch Shell PLC B,2.33
F00000OJS3,Unilever PLC,4.28,AstraZeneca PLC,4.12,HSBC Holdings PLC,3.92,Rio Tinto PLC,3.03,Diageo PLC,2.92,Royal Dutch Shell PLC Class A,2.68,GlaxoSmithKline PLC,2.65,BP PLC,2.61,British American Tobacco PLC,2.57,Royal Dutch Shell PLC B,2.33
F00000UEXJ,Unilever PLC,4.28,AstraZeneca PLC,4.12,HSBC Holdings PLC,3.92,Rio Tinto PLC,3.03,Diageo PLC,2.92,Royal Dutch Shell PLC Class A,2.68,GlaxoSmithKline PLC,2.65,BP PLC,2.61,British American Tobacco PLC,2.57,Royal Dutch Shell PLC B,2.33
F0GBR06K5N,Unilever PLC,4.28,AstraZeneca PLC,4.12,HSBC Holdings PLC,3.92,Rio Tinto PLC,3.03,Diageo PLC,2.92,Royal Dutch Shell PLC Class A,2.68,GlaxoSmithKline PLC,2.65,BP PLC,2.61,British American Tobacco PLC,2.57,Royal Dutch Shell PLC B,2.33
F00000NOT6,Unilever PLC,4.28,AstraZeneca PLC,4.12,HSBC Holdings PLC,3.92,Rio Tinto PLC,3.03,Diageo PLC,2.92,Royal Dutch Shell PLC Class A,2.68,GlaxoSmithKline PLC,2.65,BP PLC,2.61,British American Tobacco PLC,2.57,Royal Dutch Shell PLC B,2.33
F00000YXWR,Unilever PLC,5.86,AstraZeneca PLC,5.44,HSBC Holdings PLC,5.18,Rio Tinto PLC,4.15,Diageo PLC,3.93,Royal Dutch Shell PLC Class A,3.59,GlaxoSmithKline PLC,3.57,BP PLC,3.53,British American Tobacco PLC,3.41,Royal Dutch Shell PLC B,3.07
F0GBR05KL3,Unilever PLC,5.86,AstraZeneca PLC,5.44,HSBC Holdings PLC,5.18,Rio Tinto PLC,4.15,Diageo PLC,3.93,Royal Dutch Shell PLC Class A,3.59,GlaxoSmithKline PLC,3.57,BP PLC,3.53,British American Tobacco PLC,3.41,Royal Dutch Shell PLC B,3.07
F00000NU98,Unilever PLC,5.86,AstraZeneca PLC,5.44,HSBC Holdings PLC,5.18,Rio Tinto PLC,4.15,Diageo PLC,3.93,Royal Dutch Shell PLC Class A,3.59,GlaxoSmithKline PLC,3.57,BP PLC,3.53,British American Tobacco PLC,3.41,Royal Dutch Shell PLC B,3.07
F0GBR057W2,Unilever PLC,5.86,AstraZeneca PLC,5.44,HSBC Holdings PLC,5.18,Rio Tinto PLC,4.15,Diageo PLC,3.93,Royal Dutch Shell PLC Class A,3.59,GlaxoSmithKline PLC,3.57,BP PLC,3.53,British American Tobacco PLC,3.41,Royal Dutch Shell PLC B,3.07
F00000461J,Anglo American PLC,5.35,Aviva PLC,5.26,Daily Mail and General Trust PLC Class A,5.05,Barclays PLC,4.98,St Modwen Properties PLC,4.74,ConvaTec Group PLC,4.65,BP PLC,4.14,Vodafone Group PLC,4.01,WPP PLC,3.98,,
F00000461H,Anglo American PLC,5.35,Aviva PLC,5.26,Daily Mail and General Trust PLC Class A,5.05,Barclays PLC,4.98,St Modwen Properties PLC,4.74,ConvaTec Group PLC,4.65,BP PLC,4.14,Vodafone Group PLC,4.01,WPP PLC,3.98,,
F00000QK4R,Anglo American PLC,5.35,Aviva PLC,5.26,Daily Mail and General Trust PLC Class A,5.05,Barclays PLC,4.98,St Modwen Properties PLC,4.74,ConvaTec Group PLC,4.65,BP PLC,4.14,Vodafone Group PLC,4.01,WPP PLC,3.98,,
F0GBR06KRP,BP PLC,5.52,Anglo American PLC,4.54,Glencore PLC,4.45,Barclays PLC,4.34,Rio Tinto PLC,3.87,Legal & General Group PLC,3.67,Aviva PLC,3.63,Vodafone Group PLC,3.46,WPP PLC,3.31,Standard Chartered PLC,3.3
F0GBR05RDR,BP PLC,5.52,Anglo American PLC,4.54,Glencore PLC,4.45,Barclays PLC,4.34,Rio Tinto PLC,3.87,Legal & General Group PLC,3.67,Aviva PLC,3.63,Vodafone Group PLC,3.46,WPP PLC,3.31,Standard Chartered PLC,3.3
F00000QK4W,BP PLC,5.52,Anglo American PLC,4.54,Glencore PLC,4.45,Barclays PLC,4.34,Rio Tinto PLC,3.87,Legal & General Group PLC,3.67,Aviva PLC,3.63,Vodafone Group PLC,3.46,WPP PLC,3.31,Standard Chartered PLC,3.3
F0GBR064N7,UDG Healthcare PLC,3.75,Ashtead Group PLC,3.41,AstraZeneca PLC,3.31,Smith & Nephew PLC,3.28,IMI PLC,3.26,WPP PLC,3.21,QinetiQ Group PLC,3.17,Hays PLC,3.15,Next PLC,3.15,Smiths Group PLC,3.14
F0GBR064N8,UDG Healthcare PLC,3.75,Ashtead Group PLC,3.41,AstraZeneca PLC,3.31,Smith & Nephew PLC,3.28,IMI PLC,3.26,WPP PLC,3.21,QinetiQ Group PLC,3.17,Hays PLC,3.15,Next PLC,3.15,Smiths Group PLC,3.14
F000014OUS,UDG Healthcare PLC,3.75,Ashtead Group PLC,3.41,AstraZeneca PLC,3.31,Smith & Nephew PLC,3.28,IMI PLC,3.26,WPP PLC,3.21,QinetiQ Group PLC,3.17,Hays PLC,3.15,Next PLC,3.15,Smiths Group PLC,3.14
